Lang	Size	BPE	MAP.gm	P5	P10	R10	RBO	NDCG	BLEU	CHRF2	MacroF1	MicroF1	MacroBLEU	MicroBLEU	CHRF1	CHRF3
cs	25000	16000	0.1597	0.6152	0.5966	0.0625	0.316367762	0.4288	18.2	0.45	14.6	43.5	14.6	42.6	0.462	0.449
cs	50000	16000	0.2299	0.669	0.6607	0.0693	0.394681212	0.5096	23.3	0.51	21.7	49.8	20	46.1	0.518	0.508
cs	75000	16000	0.2479	0.6993	0.6862	0.0725	0.415811216	0.5269	25.2	0.53	23.9	51.5	21.6	47.1	0.534	0.526
cs	100000	16000	0.272	0.7448	0.7097	0.0765	0.433155928	0.5481	26.7	0.54	25.8	53	23.2	48.2	0.549	0.54
cs	125000	16000	0.2916	0.7572	0.7324	0.0809	0.456725154	0.5633	28.1	0.55	27.7	54.4	24.6	49.2	0.561	0.552
cs	150000	16000	0.2825	0.7628	0.7276	0.0805	0.453071463	0.5647	28.7	0.56	28.5	55.2	25.1	49.7	0.566	0.558
cs	175000	16000	0.2977	0.7586	0.7297	0.0801	0.467044913	0.5725	30.3	0.57	30.2	56.7	26.6	50.8	0.579	0.57
cs	200000	16000	0.2885	0.7658	0.737	0.0817	0.477102933	0.5775	30	0.57	29.8	56.2	26.2	50.4	0.575	0.568
cs	25000	32000	0.1298	0.56	0.5552	0.0593	0.30594889	0.4102	17.1	0.43	12.7	41.7	13.4	41.7	0.441	0.426
cs	50000	32000	0.2354	0.6883	0.6607	0.0691	0.406489019	0.5086	23	0.5	21.2	49.3	19.7	45.8	0.514	0.502
cs	75000	32000	0.2806	0.7255	0.7041	0.075	0.444340143	0.5517	25.8	0.53	25.1	52.4	22.7	47.7	0.541	0.532
cs	100000	32000	0.2781	0.7301	0.6973	0.0746	0.460419331	0.5617	27.8	0.55	27.5	54.6	24.5	49.1	0.56	0.551
cs	125000	32000	0.287	0.7534	0.7308	0.0779	0.47610368	0.5724	28.8	0.56	28.8	55.4	25.5	49.8	0.567	0.557
cs	150000	32000	0.2731	0.7429	0.7204	0.0775	0.482210317	0.5738	29.5	0.57	29.8	56.1	26.3	50.4	0.574	0.564
cs	175000	32000	0.3227	0.7766	0.7421	0.0798	0.490804098	0.5892	30.5	0.57	30.8	56.9	27.2	50.8	0.58	0.573
cs	200000	32000	0.313	0.7712	0.7384	0.0778	0.498437454	0.5928	30.8	0.58	31.2	57.2	27.3	51	0.583	0.575
