	MAP.gm	P5	P10	R10	RBO	NDCG	BLEU	CHRF2	MacroF1	MicroF1	MacroBLEU	MicroBLEU	CHRF1	CHRF3
MAP.gm	1.00000	0.87941	0.90213	0.96176	0.96471	0.96765	0.96176	0.95256	0.96836	0.96176	0.97059	0.96836	0.96394	0.96024
P5	0.87941	1.00000	0.94481	0.88235	0.94706	0.93824	0.86176	0.86354	0.86093	0.86176	0.88824	0.86093	0.86976	0.85420
P10	0.90213	0.94481	1.00000	0.93010	0.95070	0.94040	0.87564	0.87605	0.88218	0.87564	0.90802	0.88218	0.88660	0.87104
R10	0.96176	0.88235	0.93010	1.00000	0.96176	0.96176	0.93529	0.93179	0.94334	0.93529	0.94412	0.94334	0.93893	0.93962
RBO	0.96471	0.94706	0.95070	0.96176	1.00000	0.99118	0.96765	0.95553	0.96689	0.96765	0.97059	0.96689	0.97130	0.96465
NDCG	0.96765	0.93824	0.94040	0.96176	0.99118	1.00000	0.96765	0.96146	0.96689	0.96765	0.97647	0.96689	0.97130	0.96465
BLEU	0.96176	0.86176	0.87564	0.93529	0.96765	0.96765	1.00000	0.99114	0.99485	1.00000	0.98529	0.99485	0.99926	0.99853
CHRF2	0.95256	0.86354	0.87605	0.93179	0.95553	0.96146	0.99114	1.00000	0.99187	0.99114	0.99114	0.99187	0.99187	0.99260
MacroF1	0.96836	0.86093	0.88218	0.94334	0.96689	0.96689	0.99485	0.99187	1.00000	0.99485	0.99191	1.00000	0.99337	0.99705
MicroF1	0.96176	0.86176	0.87564	0.93529	0.96765	0.96765	1.00000	0.99114	0.99485	1.00000	0.98529	0.99485	0.99926	0.99853
MacroBLEU	0.97059	0.88824	0.90802	0.94412	0.97059	0.97647	0.98529	0.99114	0.99191	0.98529	1.00000	0.99191	0.98749	0.98527
MicroBLEU	0.96836	0.86093	0.88218	0.94334	0.96689	0.96689	0.99485	0.99187	1.00000	0.99485	0.99191	1.00000	0.99337	0.99705
CHRF1	0.96394	0.86976	0.88660	0.93893	0.97130	0.97130	0.99926	0.99187	0.99337	0.99926	0.98749	0.99337	1.00000	0.99705
CHRF3	0.96024	0.85420	0.87104	0.93962	0.96465	0.96465	0.99853	0.99260	0.99705	0.99853	0.98527	0.99705	0.99705	1.00000
