Type	Frequency	bleu	chrf	macrof	microf	macrobleu	microbleu
will	104	99.33833	0.997234	99.98495	99.77594	99.67336	99.40014	
their	78	99.50446	0.997811	99.98495	99.83142	99.70689	99.53111	
time	81	99.50889	0.998122	99.98495	99.82502	99.89860	99.56166	
about	87	99.44953	0.997550	99.98495	99.81222	99.67403	99.48463	
i	67	99.67216	0.999196	99.98495	99.85490	99.91063	99.70131	
only	75	99.54865	0.998150	99.98495	99.83783	99.79495	99.59148	
first	78	99.53319	0.997794	99.98495	99.83142	99.85668	99.58954	
two	66	99.60018	0.998543	99.98495	99.85703	99.79499	99.62888	
all	65	99.62195	0.998574	99.98495	99.85916	99.84810	99.65676	
1	64	99.61163	0.999008	99.98495	99.86130	99.88439	99.64885	
up	64	99.58359	0.998702	99.98495	99.86130	99.80997	99.61785	
one	62	99.62341	0.998719	99.98495	99.86557	99.88657	99.66007	
years	53	99.68073	0.998524	99.98495	99.88477	99.88796	99.70523	
police	55	99.65789	0.998370	99.98495	99.88050	99.83706	99.68073	
more	55	99.65286	0.998592	99.98495	99.88050	99.78207	99.67555	
old	55	99.63703	0.998697	99.98495	99.88050	99.84747	99.66679	
minute	61	99.60104	0.998039	99.98495	99.86770	99.73838	99.64162	
new	59	99.63748	0.998634	99.98495	99.87197	99.84225	99.67627	
so	50	99.72019	0.999123	99.98495	99.89117	99.90162	99.74888	
people	50	99.68203	0.998428	99.98495	99.89117	99.86745	99.70772	
over	57	99.63998	0.998529	99.98495	99.87623	99.79594	99.66053	
‘	60	99.61122	0.998938	99.98495	99.86983	99.80779	99.64253	
many	50	99.71465	0.998804	99.98495	99.89117	99.86638	99.73683	
can	49	99.67883	0.998857	99.98495	99.89331	99.82422	99.69900	
three	48	99.71349	0.998676	99.98495	99.89544	99.85891	99.72697	
no	53	99.68319	0.998987	99.98495	99.88477	99.83927	99.71069	
2	51	99.67819	0.999151	99.98495	99.88904	99.89305	99.71244	
sunday	47	99.73247	0.998632	99.98495	99.89757	99.93150	99.76253	
did	47	99.70873	0.998911	99.98495	99.89757	99.88600	99.73311	
could	47	99.69516	0.998626	99.98495	99.89757	99.81829	99.71168	
into	47	99.68576	0.998732	99.98495	99.89757	99.79971	99.71065	
according	46	99.80389	0.998460	99.98495	99.89971	99.94354	99.82972	
us	45	99.71279	0.999096	99.98495	99.90184	99.88139	99.74199	
its	45	99.71348	0.998984	99.98495	99.90184	99.79643	99.73041	
again	45	99.72218	0.998746	99.98495	99.90184	99.88971	99.73884	
game	43	99.73773	0.999037	99.98495	99.90611	99.92285	99.74644	
or	44	99.70881	0.999109	99.98495	99.90398	99.76062	99.72701	
when	43	99.73665	0.998942	99.98495	99.90611	99.83827	99.75621	
if	42	99.79136	0.999386	99.98495	99.90824	99.91851	99.80598	
then	42	99.75926	0.999035	99.98495	99.90824	99.89768	99.78310	
home	42	99.74376	0.999006	99.98495	99.90824	99.91258	99.76919	
german	41	99.74036	0.998699	99.98495	99.91038	99.91204	99.78017	
very	41	99.73406	0.998907	99.98495	99.91038	99.86154	99.76114	
0	41	99.73759	0.999294	99.98495	99.91038	99.93963	99.76411	
goal	41	99.73828	0.998937	99.98495	99.91038	99.93388	99.75504	
still	40	99.74574	0.998830	99.98495	99.91251	99.86038	99.76801	
you	44	99.75216	0.999063	99.98495	99.90398	99.92566	99.77119	
league	43	99.73704	0.998739	99.98495	99.90611	99.90376	99.75344	
made	40	99.74147	0.999002	99.98495	99.91251	99.87163	99.75717	
before	39	99.76315	0.998775	99.98495	99.91464	99.88934	99.77618	
festival	39	99.76592	0.998595	99.98495	99.91464	99.90053	99.77555	
work	38	99.75775	0.999025	99.98495	99.91678	99.89998	99.77280	
president	38	99.76410	0.998451	99.98495	99.91678	99.90772	99.79676	
would	36	99.77115	0.998963	99.98495	99.92105	99.88514	99.78386	
other	38	99.76983	0.998901	99.98495	99.91678	99.90587	99.79704	
she	36	99.81414	0.999333	99.98495	99.92105	99.90466	99.82903	
”	39	99.76634	0.999393	99.98495	99.91464	99.86307	99.78706	
percent	36	99.77765	0.998787	99.98495	99.92105	99.88795	99.78521	
her	36	99.76835	0.999168	99.98495	99.92105	99.83693	99.78336	
even	36	99.79641	0.999144	99.98495	99.92105	99.88717	99.81438	
just	35	99.79268	0.999149	99.98495	99.92318	99.90957	99.81314	
association	36	99.77050	0.998333	99.98495	99.92105	99.89934	99.78331	
“	36	99.76750	0.999368	99.98495	99.92105	99.85008	99.78686	
how	35	99.77487	0.999208	99.98495	99.92318	99.88200	99.79367	
last	35	99.78345	0.999104	99.98495	99.92318	99.91776	99.79443	
our	34	99.80070	0.999300	99.98495	99.92531	99.88759	99.81677	
do	34	99.79459	0.999404	99.98495	99.92531	99.93865	99.80951	
place	34	99.78532	0.999051	99.98495	99.92531	99.91610	99.79991	
coach	34	99.78682	0.999041	99.98495	99.92531	99.82728	99.78780	
should	33	99.79773	0.998951	99.98495	99.92745	99.90744	99.80748	
says	33	99.78997	0.999125	99.98495	99.92745	99.89394	99.79747	
saturday	33	99.80065	0.998804	99.98495	99.92745	99.93383	99.81881	
out	33	99.80627	0.999368	99.98495	99.92745	99.90364	99.81356	
however	32	99.86276	0.999122	99.98495	99.92958	99.96125	99.87910	
good	33	99.79131	0.999150	99.98495	99.92745	99.93572	99.81000	
him	33	99.79700	0.999282	99.98495	99.92745	99.89362	99.80841	
city	32	99.80168	0.999175	99.98495	99.92958	99.90728	99.81552	
some	31	99.81113	0.999217	99.98495	99.93172	99.90221	99.82544	
already	31	99.80467	0.998910	99.98495	99.93172	99.89084	99.82285	
world	30	99.82142	0.999157	99.98495	99.93385	99.91518	99.83598	
season	30	99.81865	0.999123	99.98495	99.93385	99.95197	99.82529	
win	30	99.81366	0.999347	99.98495	99.93385	99.93784	99.83269	
germany	30	99.82711	0.999026	99.98495	99.93385	99.93615	99.83943	
3	30	99.80565	0.999475	99.98495	99.93385	99.93231	99.81278	
because	33	99.81222	0.998939	99.98495	99.92745	99.94258	99.83444	
them	29	99.82472	0.999302	99.98495	99.93598	99.92629	99.83264	
guests	31	99.80109	0.999014	99.98495	99.93172	99.90444	99.81015	
end	29	99.81676	0.999325	99.98495	99.93598	99.96410	99.85597	
without	28	99.83047	0.999067	99.98495	99.93812	99.90180	99.84203	
through	28	99.81848	0.999124	99.98495	99.93812	99.87078	99.82465	
than	28	99.81990	0.999281	99.98495	99.93812	99.88935	99.83594	
points	28	99.84001	0.999200	99.98495	99.93812	99.91361	99.83799	
injured	28	99.83912	0.999118	99.98495	99.93812	99.94836	99.85395	
fire	28	99.82347	0.999321	99.98495	99.93812	99.91525	99.83623	
victory	27	99.84442	0.999124	99.98495	99.94025	99.94831	99.84943	
/	28	99.82636	0.999501	99.98495	99.93812	99.86390	99.83500	
like	27	99.83081	0.999303	99.98495	99.94025	99.90373	99.84204	
well	26	99.83333	0.999326	99.98495	99.94239	99.93982	99.85002	
long	26	99.83695	0.999305	99.98495	99.94239	99.93598	99.86430	
?	27	99.92439	0.999890	99.98495	99.94025	99.98019	99.93120	
back	27	99.83085	0.999322	99.98495	99.94025	99.91178	99.83891	
almost	26	99.84098	0.999211	99.98495	99.94239	99.89927	99.85034	
get	26	99.83760	0.999421	99.98495	99.94239	99.93503	99.84749	
way	25	99.84074	0.999429	99.98495	99.94452	99.94481	99.85222	
traffic	25	99.83782	0.999118	99.98495	99.94452	99.91025	99.86316	
north	25	99.84347	0.999289	99.98495	99.94452	99.93050	99.85646	
government	26	99.84602	0.998897	99.98495	99.94239	99.93254	99.85092	
minutes	25	99.85435	0.999157	99.98495	99.94452	99.92983	99.85860	
car	25	99.84367	0.999456	99.98495	99.94452	99.91967	99.84987	
such	24	99.85234	0.999389	99.98495	99.94665	99.92639	99.87197	
since	24	99.88682	0.999444	99.98495	99.94665	99.93591	99.89060	
reported	24	99.84608	0.999100	99.98495	99.94665	99.94577	99.86049	
football	25	99.87515	0.999174	99.98495	99.94452	99.94023	99.88768	
here	24	99.86222	0.999471	99.98495	99.94665	99.94430	99.86936	
great	24	99.84608	0.999304	99.98495	99.94665	99.91943	99.85535	
district	24	99.85038	0.999078	99.98495	99.94665	99.93471	99.86305	
between	24	99.84884	0.999164	99.98495	99.94665	99.87440	99.85611	
any	24	99.84604	0.999452	99.98495	99.94665	99.88580	99.85579	
air	24	99.84177	0.999436	99.98495	99.94665	99.91211	99.85976	
player	24	99.84461	0.999226	99.98495	99.94665	99.91124	99.85149	
under	23	99.86406	0.999353	99.98495	99.94879	99.91800	99.86940	
possible	23	99.85353	0.999142	99.98495	99.94879	99.93964	99.86788	
second	23	99.85495	0.999281	99.98495	99.94879	99.93751	99.86474	
evening	23	99.85637	0.999201	99.98495	99.94879	99.94446	99.86598	
four	23	99.86759	0.999449	99.98495	99.94879	99.94079	99.87371	
day	23	99.85921	0.999493	99.98495	99.94879	99.95496	99.86039	
head	23	99.85133	0.999392	99.98495	99.94879	99.93834	99.87286	
women	22	99.86455	0.999395	99.98495	99.95092	99.92895	99.87253	
want	22	99.85374	0.999462	99.98495	99.95092	99.94661	99.87182	
opening	22	99.86589	0.999267	99.98495	99.95092	99.95887	99.88814	
national	22	99.86232	0.999168	99.98495	99.95092	99.94684	99.87668	
match	22	99.85590	0.999352	99.98495	99.95092	99.94254	99.86102	
frankfurt	22	99.88219	0.999222	99.98495	99.95092	99.94295	99.89126	
around	22	99.86797	0.999324	99.98495	99.95092	99.89706	99.87250	
right	22	99.86658	0.999389	99.98495	99.95092	99.94145	99.86923	
turkish	21	99.87342	0.999262	99.98495	99.95305	99.95852	99.89075	
state	21	99.87049	0.999429	99.98495	99.95305	99.93456	99.88357	
set	21	99.86334	0.999511	99.98495	99.95305	99.94532	99.86830	
federal	22	99.86374	0.999232	99.98495	99.95092	99.93112	99.87596	
area	22	99.85516	0.999423	99.98495	99.95092	99.92450	99.87060	
grindel	21	99.88529	0.999333	99.98495	99.95305	99.95497	99.90229	
october	21	99.87199	0.999283	99.98495	99.95305	99.94353	99.87558	
does	21	99.86696	0.999452	99.98495	99.95305	99.93362	99.87128	
trump	20	99.88282	0.999442	99.98495	99.95519	99.95377	99.89147	
spd	20	99.87852	0.999566	99.98495	99.95519	99.95112	99.89707	
name	20	99.88632	0.999558	99.98495	99.95519	99.95404	99.89272	
essen	21	99.88026	0.999454	99.98495	99.95305	99.96108	99.89448	
most	20	99.88136	0.999494	99.98495	99.95519	99.91864	99.88340	
minister	20	99.87852	0.999250	99.98495	99.95519	99.90751	99.88668	
man	20	99.86933	0.999521	99.98495	99.95519	99.94539	99.87498	
lead	20	99.87432	0.999493	99.98495	99.95519	99.94493	99.87540	
during	20	99.88478	0.999399	99.98495	99.95519	99.94054	99.88800	
best	20	99.87713	0.999489	99.98495	99.95519	99.95258	99.88385	
away	20	99.87579	0.999498	99.98495	99.95519	99.93730	99.88219	
30	20	99.87644	0.999612	99.98495	99.95519	99.94412	99.88412	
wanted	19	99.88254	0.999407	99.98495	99.95732	99.94180	99.88657	
early	20	99.87644	0.999428	99.98495	99.95519	99.93426	99.88081	
players	19	99.88177	0.999351	99.98495	99.95732	99.94294	99.88586	
own	19	99.87824	0.999561	99.98495	99.95732	99.93341	99.88597	
september	19	99.87747	0.999220	99.98495	99.95732	99.95000	99.88874	
performance	19	99.88104	0.999142	99.98495	99.95732	99.94126	99.88587	
much	19	99.87962	0.999530	99.98495	99.95732	99.93051	99.88477	
later	19	99.88881	0.999480	99.98495	99.95732	99.95181	99.89566	
next	19	99.89799	0.999564	99.98495	99.95732	99.96259	99.90218	
important	19	99.87824	0.999219	99.98495	99.95732	99.94226	99.88812	
off	19	99.88035	0.999578	99.98495	99.95732	99.93954	99.88130	
what	19	99.90698	0.999620	99.98495	99.95732	99.96209	99.91241	
front	19	99.88104	0.999456	99.98495	99.95732	99.95794	99.90572	
erdogan	19	99.88600	0.999364	99.98495	99.95732	99.94774	99.89247	
board	19	99.88465	0.999479	99.98495	99.95732	99.94164	99.88709	
4	19	99.88665	0.999702	99.98495	99.95732	99.95714	99.89210	
where	18	99.88760	0.999498	99.98495	99.95946	99.93459	99.90187	
won	18	99.88922	0.999601	99.98495	99.95946	99.93658	99.89362	
top	18	99.88699	0.999595	99.98495	99.95946	99.96817	99.90298	
take	18	99.87914	0.999541	99.98495	99.95946	99.95122	99.88801	
start	18	99.88564	0.999485	99.98495	99.95946	99.96218	99.89855	
Özil	18	99.88699	0.999537	99.98495	99.95946	99.95617	99.89807	
half	18	99.88849	0.999543	99.98495	99.95946	99.96348	99.89779	
lot	18	99.88780	0.999597	99.98495	99.95946	99.95979	99.90333	
night	18	99.89210	0.999510	99.98495	99.95946	99.95448	99.89621	
being	18	99.88564	0.999478	99.98495	99.95946	99.93383	99.88992	
country	18	99.88276	0.999385	99.98495	99.95946	99.95334	99.88445	
ball	18	99.88849	0.999552	99.98495	99.95946	99.94097	99.89021	
children	18	99.88776	0.999341	99.98495	99.95946	99.95702	99.89086	
west	17	99.90723	0.999624	99.98495	99.96159	99.94798	99.91417	
musk	18	99.90532	0.999594	99.98495	99.95946	99.94161	99.91253	
until	17	99.89586	0.999510	99.98495	99.96159	99.92821	99.89815	
visitors	17	99.89593	0.999386	99.98495	99.96159	99.94792	99.89687	
took	17	99.89236	0.999575	99.98495	99.96159	99.93187	99.89550	
together	17	99.89082	0.999356	99.98495	99.96159	99.95896	99.90065	
taken	17	99.88659	0.999534	99.98495	99.96159	99.95964	99.89599	
put	17	99.88801	0.999606	99.98495	99.96159	99.92716	99.89415	
point	17	99.89382	0.999508	99.98495	99.96159	99.95528	99.89708	
number	17	99.89021	0.999447	99.98495	99.96159	99.94247	99.89979	
got	17	99.88659	0.999600	99.98495	99.96159	99.93485	99.89320	
goals	17	99.90151	0.999534	99.98495	99.96159	99.96601	99.90685	
friday	17	99.90381	0.999503	99.98495	99.96159	99.95145	99.90908	
dfb	17	99.90158	0.999647	99.98495	99.96159	99.95564	99.90595	
cup	17	99.89232	0.999600	99.98495	99.96159	99.93979	99.89735	
companies	17	99.90093	0.999344	99.98495	99.96159	99.94986	99.90111	
video	16	99.89985	0.999533	99.98495	99.96372	99.94367	99.90163	
am	17	99.89809	0.999699	99.98495	99.96159	99.93648	99.90649	
big	17	99.89517	0.999616	99.98495	99.96159	99.93504	99.90142	
both	17	99.90700	0.999615	99.98495	99.96159	99.94164	99.91637	
third	16	99.89619	0.999536	99.98495	99.96372	99.96265	99.91013	
announced	17	99.88801	0.999313	99.98495	99.96159	99.93122	99.89063	
table	16	99.90837	0.999618	99.98495	99.96372	99.96885	99.91062	
side	16	99.90407	0.999629	99.98495	99.96372	99.96094	99.90384	
my	16	99.90046	0.999688	99.98495	99.96372	99.92201	99.90618	
must	16	99.90123	0.999596	99.98495	99.96372	99.94579	99.90342	
left	16	99.89546	0.999569	99.98495	99.96372	99.95054	99.90306	
church	16	99.89692	0.999498	99.98495	99.96372	99.94641	99.90961	
came	16	99.89546	0.999596	99.98495	99.96372	99.94718	99.90583	
following	16	99.92217	0.999433	99.98495	99.96372	99.95162	99.92728	
called	16	99.89546	0.999470	99.98495	99.96372	99.95089	99.90498	
among	16	99.91867	0.999609	99.98495	99.96372	99.95113	99.92282	
always	16	99.90050	0.999519	99.98495	99.96372	99.94911	99.90622	
break	16	99.90541	0.999574	99.98495	99.96372	99.96984	99.90849	
week	15	99.91078	0.999615	99.98495	99.96586	99.96113	99.91179	
wants	15	99.90291	0.999553	99.98495	99.96586	99.94179	99.90676	
shot	15	99.90075	0.999603	99.98495	99.96586	99.95284	99.90669	
scored	15	99.90002	0.999508	99.98495	99.96586	99.93066	99.90302	
really	15	99.90652	0.999522	99.98495	99.96586	99.95917	99.91075	
rock	15	99.90506	0.999618	99.98495	99.96586	99.93906	99.91097	
party	15	99.91221	0.999593	99.98495	99.96586	99.94324	99.91557	
part	15	99.90144	0.999614	99.98495	99.96586	99.94806	99.90991	
played	15	99.91078	0.999516	99.98495	99.96586	99.93658	99.90986	
local	15	99.90506	0.999551	99.98495	99.96586	99.93936	99.91422	
group	15	99.90433	0.999563	99.98495	99.96586	99.95192	99.91319	
every	15	99.91063	0.999586	99.98495	99.96586	99.95649	99.91626	
emergency	15	99.91847	0.999421	99.98495	99.96586	99.94457	99.92066	
different	15	99.90575	0.999409	99.98495	99.96586	99.94707	99.90825	
better	15	99.90498	0.999518	99.98495	99.96586	99.95181	99.91419	
come	15	99.90002	0.999604	99.98495	99.96586	99.96692	99.90610	
behind	15	99.90360	0.999534	99.98495	99.96586	99.94196	99.90666	
accident	15	99.91152	0.999469	99.98495	99.96586	99.96784	99.91293	
ago	15	99.91728	0.999709	99.98495	99.96586	99.96792	99.92369	
15	15	99.90648	0.999711	99.98495	99.96586	99.95335	99.90942	
yet	14	99.93560	0.999784	99.98495	99.96799	99.95833	99.94211	
went	14	99.90601	0.999641	99.98495	99.96799	99.94278	99.90986	
too	14	99.91746	0.999702	99.98495	99.96799	99.95742	99.91910	
stage	14	99.91320	0.999636	99.98495	99.96799	99.95238	99.91607	
spectators	14	99.91742	0.999414	99.98495	99.96799	99.93413	99.91552	
seven	14	99.93076	0.999674	99.98495	99.96799	99.96814	99.93171	
schalke	14	99.91454	0.999541	99.98495	99.96799	99.96052	99.92051	
something	14	99.90889	0.999439	99.98495	99.96799	99.96600	99.92100	
play	14	99.91466	0.999657	99.98495	99.96799	99.95044	99.91442	
munich	14	99.92292	0.999602	99.98495	99.96799	99.96821	99.93267	
monday	14	99.92396	0.999606	99.98495	99.96799	99.96549	99.92535	
members	14	99.92811	0.999554	99.98495	99.96799	99.96696	99.93288	
may	14	99.91246	0.999672	99.98495	99.96799	99.93588	99.91409	
line	14	99.91246	0.999666	99.98495	99.96799	99.95659	99.91803	
life	14	99.91750	0.999674	99.98495	99.96799	99.96053	99.91976	
hour	14	99.91104	0.999645	99.98495	99.96799	99.95748	99.91295	
least	14	99.91535	0.999674	99.98495	99.96799	99.95113	99.91745	
help	14	99.90889	0.999630	99.98495	99.96799	99.95886	99.91947	
future	14	99.91535	0.999588	99.98495	99.96799	99.95720	99.91892	
far	14	99.91393	0.999694	99.98495	99.96799	99.96876	99.91734	
family	14	99.90962	0.999562	99.98495	99.96799	99.94575	99.91222	
failed	14	99.91246	0.999572	99.98495	99.96799	99.94286	99.91453	
despite	14	99.93352	0.999590	99.98495	99.96799	99.94917	99.93572	
everyone	14	99.91808	0.999492	99.98495	99.96799	99.96744	99.92823	
further	14	99.91320	0.999521	99.98495	99.96799	99.93658	99.91658	
club	14	99.91104	0.999634	99.98495	99.96799	99.94668	99.91040	
chairman	14	99.91239	0.999471	99.98495	99.96799	99.95437	99.92311	
department	14	99.90889	0.999382	99.98495	99.96799	99.93281	99.91088	
berlin	14	99.93076	0.999652	99.98495	99.96799	99.96703	99.93473	
another	14	99.92157	0.999550	99.98495	99.96799	99.93605	99.92504	
airport	14	99.92173	0.999575	99.98495	99.96799	99.96874	99.92316	
while	13	99.93036	0.999669	99.98495	99.97013	99.93921	99.93338	
used	13	99.91918	0.999676	99.98495	99.97013	99.95039	99.92242	
today	13	99.92836	0.999674	99.98495	99.97013	99.97030	99.93065	
things	13	99.91922	0.999594	99.98495	99.97013	99.96333	99.92824	
tesla	13	99.92333	0.999639	99.98495	99.97013	99.94233	99.92804	
terms	13	99.91561	0.999614	99.98495	99.97013	99.95701	99.92352	
started	13	99.91776	0.999552	99.98495	99.97013	99.95022	99.91658	
service	13	99.91995	0.999576	99.98495	99.97013	99.94601	99.91965	
red	13	99.92621	0.999728	99.98495	99.97013	99.95271	99.92597	
open	13	99.91768	0.999687	99.98495	99.97013	99.95486	99.92399	
make	13	99.91272	0.999652	99.98495	99.97013	99.95340	99.91912	
led	13	99.91561	0.999691	99.98495	99.97013	99.94978	99.92150	
large	13	99.92133	0.999651	99.98495	99.97013	99.95119	99.92771	
known	13	99.91492	0.999608	99.98495	99.97013	99.94943	99.91804	
forces	13	99.91561	0.999580	99.98495	99.97013	99.94206	99.91835	
fact	13	99.92133	0.999669	99.98495	99.97013	99.97456	99.93439	
former	13	99.91849	0.999586	99.98495	99.97013	99.95207	99.92576	
down	13	99.91695	0.999667	99.98495	99.97013	99.93423	99.92104	
days	13	99.92345	0.999668	99.98495	99.97013	99.96411	99.92461	
conference	13	99.92552	0.999472	99.98495	99.97013	99.96307	99.92481	
citizens	13	99.91634	0.999498	99.98495	99.97013	99.95132	99.92294	
change	13	99.91561	0.999596	99.98495	99.97013	99.97202	99.92507	
able	13	99.91272	0.999672	99.98495	99.97013	99.96869	99.93122	
anniversary	13	99.92629	0.999431	99.98495	99.97013	99.96718	99.92508	
2017	13	99.91565	0.999647	99.98495	99.97013	99.96171	99.92361	
20	13	99.92199	0.999741	99.98495	99.97013	99.95075	99.92664	
band	13	99.91776	0.999660	99.98495	99.97013	99.94299	99.91604	
tsunami	12	99.92447	0.999585	99.98495	99.97226	99.96298	99.92612	
within	12	99.92862	0.999633	99.98495	99.97226	99.95306	99.93163	
tedesco	12	99.92447	0.999632	99.98495	99.97226	99.96570	99.93182	
thanks	12	99.94346	0.999713	99.98495	99.97226	99.96914	99.94618	
special	12	99.92232	0.999575	99.98495	99.97226	99.93980	99.92387	
starting	12	99.92659	0.999551	99.98495	99.97226	99.96342	99.93292	
several	12	99.92728	0.999593	99.98495	99.97226	99.94155	99.92899	
road	12	99.92447	0.999695	99.98495	99.97226	99.95813	99.92225	
situation	12	99.92728	0.999527	99.98495	99.97226	99.95930	99.92709	
planned	12	99.92655	0.999592	99.98495	99.97226	99.95545	99.93088	
need	12	99.91944	0.999674	99.98495	99.97226	99.96440	99.92703	
music	12	99.92870	0.999674	99.98495	99.97226	99.95667	99.93221	
meters	12	99.92589	0.999633	99.98495	99.97226	99.94748	99.92768	
me	12	99.92017	0.999756	99.98495	99.97226	99.95021	99.92635	
marriage	12	99.92232	0.999539	99.98495	99.97226	99.97037	99.92953	
kim	12	99.92447	0.999731	99.98495	99.97226	99.94824	99.92946	
know	12	99.92163	0.999675	99.98495	99.97226	99.96793	99.92651	
korea	12	99.92878	0.999659	99.98495	99.97226	99.96738	99.93817	
free	12	99.92017	0.999684	99.98495	99.97226	99.94411	99.92490	
director	12	99.92232	0.999531	99.98495	99.97226	99.93690	99.92772	
audience	12	99.92159	0.999596	99.98495	99.97226	99.95851	99.91875	
dance	12	99.92943	0.999689	99.98495	99.97226	99.96090	99.93080	
games	12	99.93442	0.999694	99.98495	99.97226	99.96601	99.93563	
international	12	99.93642	0.999403	99.98495	99.97226	99.95217	99.93737	
24	12	99.92801	0.999778	99.98495	99.97226	99.95483	99.93330	
14	12	99.93085	0.999780	99.98495	99.97226	99.96384	99.93342	
why	11	99.94379	0.999810	99.98495	99.97439	99.97341	99.94719	
tv	11	99.92903	0.999772	99.98495	99.97439	99.93896	99.93131	
ten	11	99.92977	0.999745	99.98495	99.97439	99.96837	99.93135	
t	11	99.92830	0.999808	99.98495	99.97439	99.96279	99.92997	
six	11	99.93472	0.999750	99.98495	99.97439	99.96024	99.93632	
showed	11	99.92761	0.999636	99.98495	99.97439	99.94891	99.92989	
show	11	99.92688	0.999702	99.98495	99.97439	99.94991	99.93028	
security	11	99.93192	0.999590	99.98495	99.97439	99.95471	99.93276	
same	11	99.92977	0.999754	99.98495	99.97439	99.96655	99.94053	
round	11	99.93046	0.999687	99.98495	99.97439	99.96640	99.93705	
record	11	99.93184	0.999657	99.98495	99.97439	99.95668	99.93524	
position	11	99.93261	0.999611	99.98495	99.97439	99.96160	99.93134	
parties	11	99.92688	0.999608	99.98495	99.97439	99.95852	99.93022	
pressig	11	99.93407	0.999619	99.98495	99.97439	99.95122	99.93423	
missed	11	99.92830	0.999646	99.98495	99.97439	99.96729	99.93164	
missing	11	99.93334	0.999635	99.98495	99.97439	99.96343	99.93544	
merkel	11	99.92688	0.999636	99.98495	99.97439	99.96594	99.93954	
love	11	99.93192	0.999734	99.98495	99.97439	99.96829	99.93519	
little	11	99.93476	0.999656	99.98495	99.97439	99.95125	99.93335	
kahrs	11	99.94099	0.999739	99.98495	99.97439	99.96733	99.94968	
