Type	Frequency	bleu	macrof	microf	CHRF1	CHRF3
already	31	99.79819	99.96990	99.92958	0.998378	0.998304	
however	32	99.85608	99.96990	99.92745	0.998543	0.998466	
season	30	99.81238	99.96990	99.93172	0.998554	0.998554	
city	32	99.79500	99.96990	99.92745	0.998604	0.998757	
some	31	99.80465	99.96990	99.92958	0.998646	0.998795	
world	30	99.81515	99.96990	99.93172	0.998608	0.998680	
guests	31	99.79461	99.96990	99.92958	0.998447	0.998447	
because	33	99.80533	99.96990	99.92532	0.998331	0.998252	
end	29	99.81070	99.96990	99.93385	0.998800	0.999009	
him	33	99.79011	99.96990	99.92532	0.998686	0.998923	
win	30	99.80739	99.96990	99.93172	0.998787	0.999003	
3	30	99.79939	99.96990	99.93172	0.998949	0.999309	
through	28	99.81263	99.96990	99.93598	0.998481	0.998413	
germany	30	99.82157	99.96990	99.93172	0.998511	0.998439	
without	28	99.82462	99.96990	99.93598	0.998526	0.998459	
them	29	99.81866	99.96990	99.93385	0.998756	0.998895	
than	28	99.81405	99.96990	99.93598	0.998737	0.998872	
points	28	99.83415	99.96990	99.93598	0.998693	0.998693	
injured	28	99.83327	99.96990	99.93598	0.998583	0.998516	
fire	28	99.81762	99.96990	99.93598	0.998767	0.998901	
like	27	99.82516	99.96990	99.93812	0.998809	0.998938	
/	28	99.82051	99.96990	99.93598	0.998995	0.999331	
back	27	99.82520	99.96990	99.93812	0.998824	0.998954	
get	26	99.83217	99.96990	99.94025	0.998930	0.999117	
victory	27	99.83877	99.96990	99.93812	0.998659	0.998594	
well	26	99.82790	99.96990	99.94025	0.998855	0.998980	
government	26	99.84058	99.96990	99.94025	0.998424	0.998174	
?	27	99.92090	99.96990	99.93812	0.999407	0.999730	
car	25	99.83844	99.96990	99.94239	0.998978	0.999158	
almost	26	99.83555	99.96990	99.94025	0.998720	0.998720	
north	25	99.83824	99.96990	99.94239	0.998827	0.998887	
long	26	99.83151	99.96990	99.94025	0.998834	0.998959	
traffic	25	99.83259	99.96990	99.94239	0.998665	0.998605	
way	25	99.83551	99.96990	99.94239	0.998991	0.999171	
football	25	99.86992	99.96990	99.94239	0.998720	0.998600	
minutes	25	99.84912	99.96990	99.94239	0.998694	0.998634	
reported	24	99.84106	99.96990	99.94452	0.998648	0.998533	
here	24	99.85720	99.96990	99.94452	0.999006	0.999121	
player	24	99.83960	99.96990	99.94452	0.998803	0.998803	
such	24	99.84732	99.96990	99.94452	0.998955	0.999070	
district	24	99.84536	99.96990	99.94452	0.998642	0.998527	
under	23	99.85925	99.96990	99.94665	0.998936	0.998991	
since	24	99.88180	99.96990	99.94452	0.999009	0.999067	
between	24	99.84382	99.96990	99.94452	0.998719	0.998661	
any	24	99.84102	99.96990	99.94452	0.999016	0.999188	
great	24	99.84106	99.96990	99.94452	0.998854	0.998912	
four	23	99.86278	99.96990	99.94665	0.999021	0.999132	
possible	23	99.84871	99.96990	99.94665	0.998704	0.998594	
head	23	99.84652	99.96990	99.94665	0.998965	0.999076	
air	24	99.83675	99.96990	99.94452	0.998986	0.999159	
second	23	99.85014	99.96990	99.94665	0.998837	0.998837	
evening	23	99.85156	99.96990	99.94665	0.998783	0.998728	
women	22	99.85994	99.96990	99.94879	0.998972	0.999025	
day	23	99.85440	99.96990	99.94665	0.999095	0.999260	
want	22	99.84914	99.96990	99.94879	0.999005	0.999110	
national	22	99.85771	99.96990	99.94879	0.998758	0.998653	
right	22	99.86198	99.96990	99.94879	0.998980	0.999033	
opening	22	99.86129	99.96990	99.94879	0.998828	0.998775	
federal	22	99.85914	99.96990	99.94879	0.998828	0.998775	
frankfurt	22	99.87758	99.96990	99.94879	0.998774	0.998615	
match	22	99.85129	99.96990	99.94879	0.998949	0.999001	
set	21	99.85895	99.96990	99.95092	0.999116	0.999267	
october	21	99.86760	99.96990	99.95092	0.998897	0.998847	
state	21	99.86610	99.96990	99.95092	0.999012	0.999063	
area	22	99.85056	99.96990	99.94879	0.999015	0.999120	
around	22	99.86336	99.96990	99.94879	0.998906	0.998906	
turkish	21	99.86902	99.96990	99.95092	0.998876	0.998825	
does	21	99.86256	99.96990	99.95092	0.999057	0.999158	
grindel	21	99.88090	99.96990	99.95092	0.998952	0.998901	
essen	21	99.87586	99.96990	99.95092	0.999058	0.999108	
spd	20	99.87433	99.96990	99.95306	0.999189	0.999333	
trump	20	99.87863	99.96990	99.95306	0.999080	0.999128	
most	20	99.87717	99.96990	99.95306	0.999132	0.999228	
man	20	99.86514	99.96990	99.95306	0.999160	0.999304	
name	20	99.88213	99.96990	99.95306	0.999165	0.999261	
lead	20	99.87014	99.96990	99.95306	0.999128	0.999224	
september	19	99.87349	99.96990	99.95519	0.998870	0.998733	
during	20	99.88059	99.96990	99.95306	0.999037	0.999037	
away	20	99.87160	99.96990	99.95306	0.999155	0.999251	
early	20	99.87225	99.96990	99.95306	0.999080	0.999128	
best	20	99.87294	99.96990	99.95306	0.999125	0.999221	
30	20	99.87225	99.96990	99.95306	0.999251	0.999443	
players	19	99.87779	99.96990	99.95519	0.999005	0.998959	
wanted	19	99.87856	99.96990	99.95519	0.999053	0.999053	
what	19	99.90300	99.96990	99.95519	0.999262	0.999353	
minister	20	99.87433	99.96990	99.95306	0.998885	0.998789	
performance	19	99.87706	99.96990	99.95519	0.998774	0.998546	
own	19	99.87426	99.96990	99.95519	0.999208	0.999344	
off	19	99.87637	99.96990	99.95519	0.999224	0.999361	
next	19	99.89401	99.96990	99.95519	0.999237	0.999328	
much	19	99.87564	99.96990	99.95519	0.999171	0.999262	
important	19	99.87426	99.96990	99.95519	0.998867	0.998730	
later	19	99.88483	99.96990	99.95519	0.999135	0.999181	
erdogan	19	99.88202	99.96990	99.95519	0.999015	0.998969	
won	18	99.88545	99.96990	99.95732	0.999250	0.999379	
board	19	99.88068	99.96990	99.95519	0.999134	0.999180	
front	19	99.87706	99.96990	99.95519	0.999112	0.999157	
4	19	99.88267	99.96990	99.95519	0.999365	0.999594	
top	18	99.88322	99.96990	99.95732	0.999259	0.999389	
Özil	18	99.88322	99.96990	99.95732	0.999228	0.999315	
start	18	99.88187	99.96990	99.95732	0.999145	0.999188	
take	18	99.87538	99.96990	99.95732	0.999186	0.999272	
where	18	99.88383	99.96990	99.95732	0.999162	0.999205	
musk	18	99.90155	99.96990	99.95732	0.999264	0.999350	
lot	18	99.88403	99.96990	99.95732	0.999271	0.999401	
night	18	99.88833	99.96990	99.95732	0.999182	0.999226	
children	18	99.88399	99.96990	99.95732	0.999000	0.998913	
half	18	99.88472	99.96990	99.95732	0.999202	0.999288	
country	18	99.87899	99.96990	99.95732	0.999063	0.999020	
being	18	99.88187	99.96990	99.95732	0.999152	0.999195	
ball	18	99.88472	99.96990	99.95732	0.999226	0.999313	
visitors	17	99.89237	99.96990	99.95946	0.999067	0.998986	
west	17	99.90367	99.96990	99.95946	0.999302	0.999384	
taken	17	99.88303	99.96990	99.95946	0.999180	0.999220	
took	17	99.88880	99.96990	99.95946	0.999237	0.999319	
point	17	99.89026	99.96990	99.95946	0.999200	0.999241	
together	17	99.88726	99.96990	99.95946	0.999042	0.998960	
goals	17	99.89794	99.96990	99.95946	0.999226	0.999267	
number	17	99.88665	99.96990	99.95946	0.999139	0.999139	
put	17	99.88445	99.96990	99.95946	0.999283	0.999405	
got	17	99.88303	99.96990	99.95946	0.999282	0.999404	
until	17	99.89230	99.96990	99.95946	0.999202	0.999243	
dfb	17	99.89802	99.96990	99.95946	0.999340	0.999462	
friday	17	99.90025	99.96990	99.95946	0.999206	0.999206	
cup	17	99.88876	99.96990	99.95946	0.999292	0.999414	
companies	17	99.89737	99.96990	99.95946	0.999030	0.998908	
both	17	99.90344	99.96990	99.95946	0.999307	0.999388	
big	17	99.89161	99.96990	99.95946	0.999308	0.999431	
third	16	99.89284	99.96990	99.96159	0.999231	0.999269	
table	16	99.90502	99.96990	99.96159	0.999289	0.999327	
video	16	99.89649	99.96990	99.96159	0.999238	0.999277	
side	16	99.90072	99.96990	99.96159	0.999323	0.999400	
am	17	99.89452	99.96990	99.95946	0.999387	0.999550	
left	16	99.89211	99.96990	99.96159	0.999279	0.999356	
my	16	99.89711	99.96990	99.96159	0.999409	0.999563	
announced	17	99.88445	99.96990	99.95946	0.998985	0.998863	
following	16	99.91882	99.96990	99.96159	0.999142	0.999027	
came	16	99.89211	99.96990	99.96159	0.999286	0.999363	
must	16	99.89788	99.96990	99.96159	0.999291	0.999368	
church	16	99.89357	99.96990	99.96159	0.999190	0.999190	
among	16	99.91532	99.96990	99.96159	0.999319	0.999358	
called	16	99.89211	99.96990	99.96159	0.999180	0.999180	
break	16	99.90206	99.96990	99.96159	0.999284	0.999322	
week	15	99.90764	99.96990	99.96372	0.999339	0.999411	
shot	15	99.89761	99.96990	99.96372	0.999321	0.999393	
wants	15	99.89976	99.96990	99.96372	0.999276	0.999312	
always	16	99.89714	99.96990	99.96159	0.999206	0.999206	
rock	15	99.90192	99.96990	99.96372	0.999342	0.999414	
scored	15	99.89688	99.96990	99.96372	0.999231	0.999231	
played	15	99.90764	99.96990	99.96372	0.999259	0.999259	
part	15	99.89830	99.96990	99.96372	0.999327	0.999399	
really	15	99.90338	99.96990	99.96372	0.999263	0.999263	
party	15	99.90906	99.96990	99.96372	0.999314	0.999350	
emergency	15	99.91533	99.96990	99.96372	0.999157	0.999049	
every	15	99.90749	99.96990	99.96372	0.999331	0.999367	
local	15	99.90192	99.96990	99.96372	0.999279	0.999315	
group	15	99.90119	99.96990	99.96372	0.999286	0.999322	
different	15	99.90261	99.96990	99.96372	0.999126	0.999018	
better	15	99.90184	99.96990	99.96372	0.999246	0.999246	
behind	15	99.90045	99.96990	99.96372	0.999251	0.999251	
come	15	99.89688	99.96990	99.96372	0.999322	0.999394	
ago	15	99.91414	99.96990	99.96372	0.999438	0.999546	
accident	15	99.90837	99.96990	99.96372	0.999192	0.999120	
15	15	99.90334	99.96990	99.96372	0.999442	0.999586	
went	14	99.90307	99.96990	99.96586	0.999366	0.999434	
yet	14	99.93266	99.96990	99.96586	0.999529	0.999630	
play	14	99.91172	99.96990	99.96586	0.999414	0.999481	
something	14	99.90596	99.96990	99.96586	0.999166	0.999066	
stage	14	99.91026	99.96990	99.96586	0.999355	0.999389	
schalke	14	99.91161	99.96990	99.96586	0.999272	0.999238	
too	14	99.91453	99.96990	99.96586	0.999448	0.999549	
munich	14	99.91998	99.96990	99.96586	0.999343	0.999343	
spectators	14	99.91449	99.96990	99.96586	0.999150	0.999015	
line	14	99.90953	99.96990	99.96586	0.999397	0.999464	
monday	14	99.92102	99.96990	99.96586	0.999366	0.999366	
seven	14	99.92782	99.96990	99.96586	0.999401	0.999434	
members	14	99.92517	99.96990	99.96586	0.999300	0.999267	
may	14	99.90953	99.96990	99.96586	0.999432	0.999533	
life	14	99.91457	99.96990	99.96586	0.999410	0.999478	
future	14	99.91241	99.96990	99.96586	0.999319	0.999319	
help	14	99.90596	99.96990	99.96586	0.999377	0.999444	
least	14	99.91241	99.96990	99.96586	0.999350	0.999384	
further	14	99.91026	99.96990	99.96586	0.999267	0.999233	
hour	14	99.90811	99.96990	99.96586	0.999387	0.999454	
failed	14	99.90953	99.96990	99.96586	0.999313	0.999313	
far	14	99.91099	99.96990	99.96586	0.999431	0.999532	
family	14	99.90669	99.96990	99.96586	0.999306	0.999306	
department	14	99.90596	99.96990	99.96586	0.999124	0.998990	
despite	14	99.93059	99.96990	99.96586	0.999332	0.999298	
everyone	14	99.91514	99.96990	99.96586	0.999243	0.999176	
club	14	99.90811	99.96990	99.96586	0.999381	0.999448	
chairman	14	99.90945	99.96990	99.96586	0.999217	0.999149	
berlin	14	99.92782	99.96990	99.96586	0.999360	0.999360	
another	14	99.91864	99.96990	99.96586	0.999296	0.999263	
airport	14	99.91879	99.96990	99.96586	0.999306	0.999273	
used	13	99.91645	99.96990	99.96799	0.999435	0.999498	
while	13	99.92764	99.96990	99.96799	0.999434	0.999465	
today	13	99.92564	99.96990	99.96799	0.999446	0.999478	
things	13	99.91649	99.96990	99.96799	0.999344	0.999344	
started	13	99.91503	99.96990	99.96799	0.999315	0.999284	
terms	13	99.91288	99.96990	99.96799	0.999374	0.999405	
tesla	13	99.92060	99.96990	99.96799	0.999403	0.999434	
service	13	99.91723	99.96990	99.96799	0.999315	0.999284	
red	13	99.92349	99.96990	99.96799	0.999491	0.999585	
led	13	99.91288	99.96990	99.96799	0.999451	0.999544	
open	13	99.91496	99.96990	99.96799	0.999427	0.999489	
former	13	99.91576	99.96990	99.96799	0.999340	0.999340	
known	13	99.91219	99.96990	99.96799	0.999373	0.999404	
forces	13	99.91288	99.96990	99.96799	0.999344	0.999344	
make	13	99.91000	99.96990	99.96799	0.999412	0.999474	
large	13	99.91861	99.96990	99.96799	0.999389	0.999420	
conference	13	99.92280	99.96990	99.96799	0.999219	0.999094	
fact	13	99.91861	99.96990	99.96799	0.999433	0.999496	
days	13	99.92072	99.96990	99.96799	0.999445	0.999507	
down	13	99.91423	99.96990	99.96799	0.999427	0.999489	
citizens	13	99.91361	99.96990	99.96799	0.999271	0.999209	
change	13	99.91288	99.96990	99.96799	0.999344	0.999344	
able	13	99.91000	99.96990	99.96799	0.999412	0.999474	
band	13	99.91503	99.96990	99.96799	0.999425	0.999487	
anniversary	13	99.92356	99.96990	99.96799	0.999207	0.999051	
within	12	99.92611	99.96990	99.97013	0.999415	0.999415	
2017	13	99.91292	99.96990	99.96799	0.999412	0.999474	
20	13	99.91926	99.96990	99.96799	0.999506	0.999631	
tsunami	12	99.92196	99.96990	99.97013	0.999362	0.999333	
tedesco	12	99.92196	99.96990	99.97013	0.999369	0.999340	
situation	12	99.92476	99.96990	99.97013	0.999308	0.999222	
special	12	99.91980	99.96990	99.97013	0.999352	0.999323	
thanks	12	99.94094	99.96990	99.97013	0.999472	0.999472	
several	12	99.92476	99.96990	99.97013	0.999370	0.999341	
starting	12	99.92407	99.96990	99.97013	0.999328	0.999270	
road	12	99.92196	99.96990	99.97013	0.999477	0.999535	
need	12	99.91692	99.96990	99.97013	0.999457	0.999515	
music	12	99.92618	99.96990	99.97013	0.999457	0.999485	
planned	12	99.92403	99.96990	99.97013	0.999374	0.999345	
meters	12	99.92338	99.96990	99.97013	0.999415	0.999415	
korea	12	99.92626	99.96990	99.97013	0.999441	0.999470	
marriage	12	99.91980	99.96990	99.97013	0.999316	0.999258	
me	12	99.91765	99.96990	99.97013	0.999529	0.999644	
know	12	99.91911	99.96990	99.97013	0.999458	0.999516	
kim	12	99.92196	99.96990	99.97013	0.999513	0.999600	
international	12	99.93391	99.96990	99.97013	0.999184	0.998983	
free	12	99.91765	99.96990	99.97013	0.999457	0.999515	
games	12	99.93191	99.96990	99.97013	0.999477	0.999506	
dance	12	99.92691	99.96990	99.97013	0.999456	0.999484	
24	12	99.92549	99.96990	99.97013	0.999561	0.999676	
director	12	99.91980	99.96990	99.97013	0.999313	0.999255	
audience	12	99.91907	99.96990	99.97013	0.999323	0.999265	
14	12	99.92834	99.96990	99.97013	0.999558	0.999673	
why	11	99.94148	99.96990	99.97226	0.999608	0.999687	
tv	11	99.92673	99.96990	99.97226	0.999568	0.999674	
ten	11	99.92746	99.96990	99.97226	0.999545	0.999625	
t	11	99.92600	99.96990	99.97226	0.999604	0.999737	
six	11	99.93242	99.96990	99.97226	0.999561	0.999640	
show	11	99.92458	99.96990	99.97226	0.999502	0.999555	
showed	11	99.92531	99.96990	99.97226	0.999436	0.999436	
security	11	99.92961	99.96990	99.97226	0.999401	0.999348	
same	11	99.92746	99.96990	99.97226	0.999505	0.999558	
record	11	99.92953	99.96990	99.97226	0.999451	0.999451	
parties	11	99.92458	99.96990	99.97226	0.999403	0.999377	
missing	11	99.93103	99.96990	99.97226	0.999434	0.999407	
round	11	99.92815	99.96990	99.97226	0.999478	0.999505	
pressig	11	99.93176	99.96990	99.97226	0.999419	0.999393	
position	11	99.93030	99.96990	99.97226	0.999401	0.999348	
missed	11	99.92600	99.96990	99.97226	0.999436	0.999436	
merkel	11	99.92458	99.96990	99.97226	0.999436	0.999436	
love	11	99.92961	99.96990	99.97226	0.999535	0.999588	
little	11	99.93246	99.96990	99.97226	0.999451	0.999451	
kahrs	11	99.93868	99.96990	99.97226	0.999515	0.999541	
integration	11	99.93176	99.96990	99.97226	0.999301	0.999169	
hours	11	99.93660	99.96990	99.97226	0.999520	0.999546	
high	11	99.92531	99.96990	99.97226	0.999505	0.999558	
hedge	11	99.93949	99.96990	99.97226	0.999506	0.999532	
happy	11	99.92604	99.96990	99.97226	0.999482	0.999508	
hamburg	11	99.94164	99.96990	99.97226	0.999474	0.999448	
garden	11	99.93384	99.96990	99.97226	0.999466	0.999466	
found	11	99.92531	99.96990	99.97226	0.999469	0.999496	
exchange	11	99.93318	99.96990	99.97226	0.999419	0.999367	
folk	11	99.92673	99.96990	99.97226	0.999506	0.999559	
five	11	99.92458	99.96990	99.97226	0.999502	0.999555	
few	11	99.92965	99.96990	99.97226	0.999545	0.999625	
event	11	99.92815	99.96990	99.97226	0.999480	0.999507	
finally	11	99.93591	99.96990	99.97226	0.999454	0.999428	
driver	11	99.92604	99.96990	99.97226	0.999436	0.999436	
euros	11	99.93245	99.96990	99.97226	0.999510	0.999536	
election	11	99.92673	99.96990	99.97226	0.999381	0.999328	
each	11	99.93384	99.96990	99.97226	0.999523	0.999575	
damage	11	99.93176	99.96990	99.97226	0.999452	0.999452	
control	11	99.93176	99.96990	99.97226	0.999440	0.999413	
completely	11	99.92604	99.96990	99.97226	0.999315	0.999209	
construction	11	99.92888	99.96990	99.97226	0.999251	0.999093	
cologne	11	99.93664	99.96990	99.97226	0.999444	0.999417	
clear	11	99.92385	99.96990	99.97226	0.999469	0.999496	
caused	11	99.92531	99.96990	99.97226	0.999436	0.999436	
brought	11	99.92385	99.96990	99.97226	0.999403	0.999377	
afternoon	11	99.93253	99.96990	99.97226	0.999357	0.999278	
champion	11	99.92746	99.96990	99.97226	0.999373	0.999320	
brazilian	11	99.93303	99.96990	99.97226	0.999379	0.999300	
action	11	99.93461	99.96990	99.97226	0.999487	0.999487	
addition	11	99.93676	99.96990	99.97226	0.999404	0.999351	
25	11	99.92892	99.96990	99.97226	0.999575	0.999680	
case	11	99.93169	99.96990	99.97226	0.999520	0.999572	
working	10	99.93292	99.96990	99.97439	0.999457	0.999433	
wind	10	99.93365	99.96990	99.97439	0.999559	0.999607	
whether	10	99.93922	99.96990	99.97439	0.999488	0.999464	
united	10	99.93438	99.96990	99.97439	0.999487	0.999487	
union	10	99.94003	99.96990	99.97439	0.999536	0.999560	
trainer	10	99.94211	99.96990	99.97439	0.999498	0.999474	
trade	10	99.93727	99.96990	99.97439	0.999531	0.999555	
track	10	99.93438	99.96990	99.97439	0.999521	0.999545	
thing	10	99.93796	99.96990	99.97439	0.999530	0.999554	
these	10	99.94633	99.96990	99.97439	0.999573	0.999597	
system	10	99.93150	99.96990	99.97439	0.999497	0.999497	
sulawesi	10	99.93507	99.96990	99.97439	0.999448	0.999400	
stand	10	99.93365	99.96990	99.97439	0.999528	0.999552	
site	10	99.93796	99.96990	99.97439	0.999578	0.999626	
summer	10	99.93507	99.96990	99.97439	0.999498	0.999498	
quite	10	99.93646	99.96990	99.97439	0.999533	0.999557	
short	10	99.93796	99.96990	99.97439	0.999544	0.999568	
public	10	99.93292	99.96990	99.97439	0.999490	0.999490	
opened	10	99.93511	99.96990	99.97439	0.999489	0.999489	
see	10	99.93077	99.96990	99.97439	0.999578	0.999650	
presidential	10	99.93873	99.96990	99.97439	0.999316	0.999172	
presented	10	99.93584	99.96990	99.97439	0.999403	0.999331	
liverpool	10	99.93715	99.96990	99.97439	0.999419	0.999347	
men	10	99.93365	99.96990	99.97439	0.999594	0.999666	
macedonia	10	99.94353	99.96990	99.97439	0.999440	0.999368	
house	10	99.93796	99.96990	99.97439	0.999548	0.999572	
hiltrup	10	99.93150	99.96990	99.97439	0.999463	0.999439	
independence	10	99.93365	99.96990	99.97439	0.999310	0.999166	
married	10	99.93292	99.96990	99.97439	0.999468	0.999444	
going	10	99.93223	99.96990	99.97439	0.999521	0.999545	
hard	10	99.93077	99.96990	99.97439	0.999547	0.999596	
