Type	Frequency	bleu	macrof	microf	CHRF1	CHRF3
rock	15	99.90192	99.96990	99.96372	0.999432	0.999432	
among	16	99.91532	99.96990	99.96159	0.999367	0.999367	
always	16	99.89714	99.96990	99.96159	0.999190	0.999190	
wants	15	99.89976	99.96990	99.96372	0.999321	0.999321	
scored	15	99.89688	99.96990	99.96372	0.999231	0.999231	
local	15	99.90192	99.96990	99.96372	0.999324	0.999324	
played	15	99.90764	99.96990	99.96372	0.999244	0.999244	
emergency	15	99.91533	99.96990	99.96372	0.999008	0.999008	
better	15	99.90184	99.96990	99.96372	0.999246	0.999246	
group	15	99.90119	99.96990	99.96372	0.999331	0.999331	
every	15	99.90749	99.96990	99.96372	0.999359	0.999359	
shot	15	99.89761	99.96990	99.96372	0.999411	0.999411	
really	15	99.90338	99.96990	99.96372	0.999248	0.999248	
party	15	99.90906	99.96990	99.96372	0.999345	0.999345	
part	15	99.89830	99.96990	99.96372	0.999417	0.999417	
different	15	99.90261	99.96990	99.96372	0.998991	0.998991	
come	15	99.89688	99.96990	99.96372	0.999412	0.999412	
behind	15	99.90045	99.96990	99.96372	0.999251	0.999251	
ago	15	99.91414	99.96990	99.96372	0.999573	0.999573	
accident	15	99.90837	99.96990	99.96372	0.999102	0.999102	
yet	14	99.93266	99.96990	99.96586	0.999641	0.999641	
went	14	99.90307	99.96990	99.96586	0.999451	0.999451	
15	15	99.90334	99.96990	99.96372	0.999622	0.999622	
spectators	14	99.91449	99.96990	99.96586	0.998982	0.998982	
members	14	99.92517	99.96990	99.96586	0.999258	0.999258	
stage	14	99.91026	99.96990	99.96586	0.999397	0.999397	
something	14	99.90596	99.96990	99.96586	0.999040	0.999040	
munich	14	99.91998	99.96990	99.96586	0.999343	0.999343	
too	14	99.91453	99.96990	99.96586	0.999574	0.999574	
schalke	14	99.91161	99.96990	99.96586	0.999230	0.999230	
seven	14	99.92782	99.96990	99.96586	0.999443	0.999443	
line	14	99.90953	99.96990	99.96586	0.999481	0.999481	
monday	14	99.92102	99.96990	99.96586	0.999353	0.999353	
life	14	99.91457	99.96990	99.96586	0.999494	0.999494	
least	14	99.91241	99.96990	99.96586	0.999392	0.999392	
help	14	99.90596	99.96990	99.96586	0.999461	0.999461	
play	14	99.91172	99.96990	99.96586	0.999484	0.999484	
everyone	14	99.91514	99.96990	99.96586	0.999146	0.999146	
despite	14	99.93059	99.96990	99.96586	0.999290	0.999290	
may	14	99.90953	99.96990	99.96586	0.999545	0.999545	
far	14	99.91099	99.96990	99.96586	0.999557	0.999557	
further	14	99.91026	99.96990	99.96586	0.999225	0.999225	
family	14	99.90669	99.96990	99.96586	0.999293	0.999293	
hour	14	99.90811	99.96990	99.96586	0.999471	0.999471	
airport	14	99.91879	99.96990	99.96586	0.999264	0.999264	
berlin	14	99.92782	99.96990	99.96586	0.999360	0.999360	
failed	14	99.90953	99.96990	99.96586	0.999313	0.999313	
future	14	99.91241	99.96990	99.96586	0.999319	0.999319	
another	14	99.91864	99.96990	99.96586	0.999254	0.999254	
department	14	99.90596	99.96990	99.96586	0.998956	0.998956	
chairman	14	99.90945	99.96990	99.96586	0.999133	0.999133	
club	14	99.90811	99.96990	99.96586	0.999465	0.999465	
while	13	99.92764	99.96990	99.96799	0.999473	0.999473	
used	13	99.91645	99.96990	99.96799	0.999513	0.999513	
today	13	99.92564	99.96990	99.96799	0.999473	0.999473	
things	13	99.91649	99.96990	99.96799	0.999344	0.999344	
terms	13	99.91288	99.96990	99.96799	0.999413	0.999413	
tesla	13	99.92060	99.96990	99.96799	0.999442	0.999442	
service	13	99.91723	99.96990	99.96799	0.999276	0.999276	
started	13	99.91503	99.96990	99.96799	0.999276	0.999276	
red	13	99.92349	99.96990	99.96799	0.999608	0.999608	
make	13	99.91000	99.96990	99.96799	0.999490	0.999490	
open	13	99.91496	99.96990	99.96799	0.999505	0.999505	
known	13	99.91219	99.96990	99.96799	0.999412	0.999412	
led	13	99.91288	99.96990	99.96799	0.999568	0.999568	
former	13	99.91576	99.96990	99.96799	0.999340	0.999340	
conference	13	99.92280	99.96990	99.96799	0.999063	0.999063	
citizens	13	99.91361	99.96990	99.96799	0.999181	0.999181	
large	13	99.91861	99.96990	99.96799	0.999428	0.999428	
band	13	99.91503	99.96990	99.96799	0.999503	0.999503	
2017	13	99.91292	99.96990	99.96799	0.999490	0.999490	
able	13	99.91000	99.96990	99.96799	0.999490	0.999490	
fact	13	99.91861	99.96990	99.96799	0.999511	0.999511	
forces	13	99.91288	99.96990	99.96799	0.999344	0.999344	
down	13	99.91423	99.96990	99.96799	0.999505	0.999505	
days	13	99.92072	99.96990	99.96799	0.999510	0.999510	
situation	12	99.92476	99.96990	99.97013	0.999200	0.999200	
starting	12	99.92407	99.96990	99.97013	0.999256	0.999256	
tsunami	12	99.92196	99.96990	99.97013	0.999326	0.999326	
change	13	99.91288	99.96990	99.96799	0.999344	0.999344	
anniversary	13	99.92356	99.96990	99.96799	0.998999	0.998999	
road	12	99.92196	99.96990	99.97013	0.999549	0.999549	
20	13	99.91926	99.96990	99.96799	0.999662	0.999662	
within	12	99.92611	99.96990	99.97013	0.999415	0.999415	
special	12	99.91980	99.96990	99.97013	0.999316	0.999316	
thanks	12	99.94094	99.96990	99.97013	0.999472	0.999472	
tedesco	12	99.92196	99.96990	99.97013	0.999333	0.999333	
need	12	99.91692	99.96990	99.97013	0.999529	0.999529	
planned	12	99.92403	99.96990	99.97013	0.999338	0.999338	
several	12	99.92476	99.96990	99.97013	0.999334	0.999334	
music	12	99.92618	99.96990	99.97013	0.999493	0.999493	
marriage	12	99.91980	99.96990	99.97013	0.999244	0.999244	
meters	12	99.92338	99.96990	99.97013	0.999415	0.999415	
me	12	99.91765	99.96990	99.97013	0.999673	0.999673	
korea	12	99.92626	99.96990	99.97013	0.999477	0.999477	
kim	12	99.92196	99.96990	99.97013	0.999621	0.999621	
know	12	99.91911	99.96990	99.97013	0.999530	0.999530	
games	12	99.93191	99.96990	99.97013	0.999513	0.999513	
24	12	99.92549	99.96990	99.97013	0.999705	0.999705	
audience	12	99.91907	99.96990	99.97013	0.999251	0.999251	
director	12	99.91980	99.96990	99.97013	0.999241	0.999241	
free	12	99.91765	99.96990	99.97013	0.999529	0.999529	
dance	12	99.92691	99.96990	99.97013	0.999492	0.999492	
international	12	99.93391	99.96990	99.97013	0.998932	0.998932	
14	12	99.92834	99.96990	99.97013	0.999702	0.999702	
six	11	99.93242	99.96990	99.97226	0.999650	0.999650	
tv	11	99.92673	99.96990	99.97226	0.999700	0.999700	
show	11	99.92458	99.96990	99.97226	0.999568	0.999568	
t	11	99.92600	99.96990	99.97226	0.999770	0.999770	
why	11	99.94148	99.96990	99.97226	0.999695	0.999695	
round	11	99.92815	99.96990	99.97226	0.999511	0.999511	
ten	11	99.92746	99.96990	99.97226	0.999645	0.999645	
same	11	99.92746	99.96990	99.97226	0.999571	0.999571	
pressig	11	99.93176	99.96990	99.97226	0.999386	0.999386	
position	11	99.93030	99.96990	99.97226	0.999335	0.999335	
showed	11	99.92531	99.96990	99.97226	0.999436	0.999436	
security	11	99.92961	99.96990	99.97226	0.999324	0.999324	
record	11	99.92953	99.96990	99.97226	0.999451	0.999451	
missing	11	99.93103	99.96990	99.97226	0.999401	0.999401	
parties	11	99.92458	99.96990	99.97226	0.999370	0.999370	
integration	11	99.93176	99.96990	99.97226	0.999136	0.999136	
hours	11	99.93660	99.96990	99.97226	0.999553	0.999553	
little	11	99.93246	99.96990	99.97226	0.999451	0.999451	
missed	11	99.92600	99.96990	99.97226	0.999436	0.999436	
love	11	99.92961	99.96990	99.97226	0.999601	0.999601	
merkel	11	99.92458	99.96990	99.97226	0.999436	0.999436	
kahrs	11	99.93868	99.96990	99.97226	0.999548	0.999548	
hedge	11	99.93949	99.96990	99.97226	0.999539	0.999539	
high	11	99.92531	99.96990	99.97226	0.999571	0.999571	
found	11	99.92531	99.96990	99.97226	0.999502	0.999502	
happy	11	99.92604	99.96990	99.97226	0.999504	0.999504	
finally	11	99.93591	99.96990	99.97226	0.999411	0.999411	
hamburg	11	99.94164	99.96990	99.97226	0.999441	0.999441	
garden	11	99.93384	99.96990	99.97226	0.999466	0.999466	
each	11	99.93384	99.96990	99.97226	0.999589	0.999589	
event	11	99.92815	99.96990	99.97226	0.999513	0.999513	
exchange	11	99.93318	99.96990	99.97226	0.999341	0.999341	
five	11	99.92458	99.96990	99.97226	0.999568	0.999568	
driver	11	99.92604	99.96990	99.97226	0.999436	0.999436	
euros	11	99.93245	99.96990	99.97226	0.999543	0.999543	
folk	11	99.92673	99.96990	99.97226	0.999572	0.999572	
few	11	99.92965	99.96990	99.97226	0.999645	0.999645	
election	11	99.92673	99.96990	99.97226	0.999315	0.999315	
damage	11	99.93176	99.96990	99.97226	0.999452	0.999452	
construction	11	99.92888	99.96990	99.97226	0.999053	0.999053	
completely	11	99.92604	99.96990	99.97226	0.999172	0.999172	
control	11	99.93176	99.96990	99.97226	0.999407	0.999407	
champion	11	99.92746	99.96990	99.97226	0.999307	0.999307	
caused	11	99.92531	99.96990	99.97226	0.999436	0.999436	
addition	11	99.93676	99.96990	99.97226	0.999338	0.999338	
cologne	11	99.93664	99.96990	99.97226	0.999411	0.999411	
case	11	99.93169	99.96990	99.97226	0.999586	0.999586	
clear	11	99.92385	99.96990	99.97226	0.999502	0.999502	
brought	11	99.92385	99.96990	99.97226	0.999370	0.999370	
brazilian	11	99.93303	99.96990	99.97226	0.999269	0.999269	
action	11	99.93461	99.96990	99.97226	0.999487	0.999487	
wind	10	99.93365	99.96990	99.97439	0.999619	0.999619	
working	10	99.93292	99.96990	99.97439	0.999427	0.999427	
afternoon	11	99.93253	99.96990	99.97226	0.999258	0.999258	
25	11	99.92892	99.96990	99.97226	0.999707	0.999707	
whether	10	99.93922	99.96990	99.97439	0.999458	0.999458	
united	10	99.93438	99.96990	99.97439	0.999487	0.999487	
union	10	99.94003	99.96990	99.97439	0.999566	0.999566	
track	10	99.93438	99.96990	99.97439	0.999551	0.999551	
trainer	10	99.94211	99.96990	99.97439	0.999468	0.999468	
sulawesi	10	99.93507	99.96990	99.97439	0.999388	0.999388	
thing	10	99.93796	99.96990	99.97439	0.999560	0.999560	
summer	10	99.93507	99.96990	99.97439	0.999498	0.999498	
these	10	99.94633	99.96990	99.97439	0.999603	0.999603	
trade	10	99.93727	99.96990	99.97439	0.999561	0.999561	
system	10	99.93150	99.96990	99.97439	0.999487	0.999487	
short	10	99.93796	99.96990	99.97439	0.999574	0.999574	
presented	10	99.93584	99.96990	99.97439	0.999313	0.999313	
site	10	99.93796	99.96990	99.97439	0.999638	0.999638	
see	10	99.93077	99.96990	99.97439	0.999668	0.999668	
stand	10	99.93365	99.96990	99.97439	0.999558	0.999558	
quite	10	99.93646	99.96990	99.97439	0.999563	0.999563	
public	10	99.93292	99.96990	99.97439	0.999490	0.999490	
presidential	10	99.93873	99.96990	99.97439	0.999136	0.999136	
men	10	99.93365	99.96990	99.97439	0.999684	0.999684	
married	10	99.93292	99.96990	99.97439	0.999438	0.999438	
kulmbach	10	99.93715	99.96990	99.97439	0.999393	0.999393	
macedonia	10	99.94353	99.96990	99.97439	0.999350	0.999350	
opened	10	99.93511	99.96990	99.97439	0.999489	0.999489	
liverpool	10	99.93715	99.96990	99.97439	0.999329	0.999329	
go	10	99.93292	99.96990	99.97439	0.999738	0.999738	
house	10	99.93796	99.96990	99.97439	0.999578	0.999578	
hard	10	99.93077	99.96990	99.97439	0.999608	0.999608	
independence	10	99.93365	99.96990	99.97439	0.999130	0.999130	
