Type	Frequency	CHRF1	CHRF3
goal	41	0.998933	0.998539	
league	43	0.998734	0.998115	
home	42	0.999002	0.998599	
german	41	0.998694	0.998104	
very	41	0.998902	0.998509	
still	40	0.998825	0.998345	
made	40	0.998998	0.998614	
festival	39	0.998590	0.997841	
she	36	0.999330	0.999071	
work	38	0.999022	0.998657	
before	39	0.998770	0.998208	
would	36	0.998959	0.998527	
president	38	0.998445	0.997624	
other	38	0.998897	0.998441	
”	39	0.999391	0.999297	
even	36	0.999141	0.998795	
percent	36	0.998782	0.998177	
last	35	0.999100	0.998764	
place	34	0.999048	0.998640	
her	36	0.999165	0.998905	
just	35	0.999146	0.998810	
our	34	0.999297	0.999053	
how	35	0.999205	0.998953	
“	36	0.999365	0.999279	
association	36	0.998327	0.997377	
do	34	0.999402	0.999239	
coach	34	0.999037	0.998629	
says	33	0.999121	0.998804	
good	33	0.999147	0.998830	
saturday	33	0.998800	0.998166	
should	33	0.998947	0.998472	
out	33	0.999365	0.999128	
him	33	0.999280	0.999042	
because	33	0.998935	0.998381	
however	32	0.999119	0.998581	
some	31	0.999214	0.998917	
city	32	0.999172	0.998864	
already	31	0.998906	0.998385	
world	30	0.999153	0.998793	
win	30	0.999344	0.999128	
3	30	0.999478	0.999411	
guests	31	0.999011	0.998564	
season	30	0.999119	0.998687	
germany	30	0.999022	0.998518	
them	29	0.999299	0.999021	
end	29	0.999322	0.999114	
without	28	0.999064	0.998593	
through	28	0.999121	0.998650	
points	28	0.999197	0.998794	
injured	28	0.999115	0.998644	
than	28	0.999279	0.999010	
fire	28	0.999318	0.999049	
/	28	0.999499	0.999432	
victory	27	0.999121	0.998667	
almost	26	0.999208	0.998834	
well	26	0.999323	0.999074	
?	27	0.999890	0.999826	
like	27	0.999300	0.999041	
government	26	0.998893	0.998269	
back	27	0.999319	0.999060	
long	26	0.999302	0.999052	
way	25	0.999427	0.999246	
north	25	0.999286	0.998986	
traffic	25	0.999115	0.998695	
get	26	0.999418	0.999231	
minutes	25	0.999153	0.998733	
football	25	0.999171	0.998690	
car	25	0.999454	0.999274	
such	24	0.999387	0.999156	
player	24	0.999223	0.998877	
reported	24	0.999096	0.998635	
since	24	0.999442	0.999153	
great	24	0.999301	0.999013	
here	24	0.999469	0.999238	
district	24	0.999074	0.998613	
between	24	0.999161	0.998758	
any	24	0.999450	0.999277	
possible	23	0.999138	0.998697	
air	24	0.999433	0.999260	
under	23	0.999350	0.999074	
head	23	0.999390	0.999169	
second	23	0.999279	0.998947	
evening	23	0.999198	0.998811	
day	23	0.999491	0.999326	
four	23	0.999446	0.999226	
women	22	0.999392	0.999128	
want	22	0.999460	0.999249	
right	22	0.999386	0.999122	
opening	22	0.999264	0.998894	
federal	22	0.999229	0.998859	
match	22	0.999350	0.999086	
national	22	0.999164	0.998742	
frankfurt	22	0.999219	0.998744	
area	22	0.999421	0.999210	
around	22	0.999321	0.999004	
turkish	21	0.999259	0.998906	
state	21	0.999427	0.999174	
set	21	0.999509	0.999358	
grindel	21	0.999330	0.998977	
essen	21	0.999452	0.999200	
october	21	0.999280	0.998928	
does	21	0.999450	0.999248	
most	20	0.999492	0.999300	
trump	20	0.999440	0.999200	
spd	20	0.999564	0.999420	
name	20	0.999557	0.999364	
minister	20	0.999247	0.998863	
man	20	0.999520	0.999376	
lead	20	0.999491	0.999299	
during	20	0.999397	0.999109	
early	20	0.999425	0.999185	
best	20	0.999487	0.999295	
what	19	0.999618	0.999436	
30	20	0.999611	0.999515	
away	20	0.999496	0.999304	
wanted	19	0.999405	0.999131	
september	19	0.999217	0.998807	
performance	19	0.999138	0.998637	
off	19	0.999576	0.999439	
players	19	0.999349	0.999029	
own	19	0.999560	0.999423	
next	19	0.999563	0.999380	
front	19	0.999454	0.999226	
later	19	0.999478	0.999250	
important	19	0.999216	0.998806	
much	19	0.999528	0.999346	
erdogan	19	0.999362	0.999043	
board	19	0.999477	0.999249	
top	18	0.999593	0.999463	
where	18	0.999496	0.999280	
won	18	0.999599	0.999469	
4	19	0.999697	0.999656	
take	18	0.999539	0.999366	
Özil	18	0.999535	0.999362	
start	18	0.999483	0.999267	
ball	18	0.999550	0.999378	
country	18	0.999383	0.999080	
half	18	0.999541	0.999368	
night	18	0.999508	0.999292	
being	18	0.999476	0.999260	
musk	18	0.999593	0.999420	
lot	18	0.999595	0.999466	
west	17	0.999622	0.999459	
children	18	0.999338	0.998992	
visitors	17	0.999383	0.999057	
until	17	0.999508	0.999304	
put	17	0.999604	0.999482	
taken	17	0.999532	0.999328	
took	17	0.999573	0.999410	
together	17	0.999354	0.999027	
number	17	0.999445	0.999200	
point	17	0.999506	0.999302	
got	17	0.999598	0.999476	
friday	17	0.999501	0.999256	
both	17	0.999613	0.999450	
goals	17	0.999533	0.999328	
companies	17	0.999342	0.998974	
cup	17	0.999598	0.999476	
big	17	0.999614	0.999492	
announced	17	0.999311	0.998943	
dfb	17	0.999646	0.999524	
am	17	0.999698	0.999616	
third	16	0.999534	0.999342	
video	16	0.999531	0.999339	
side	16	0.999627	0.999473	
table	16	0.999616	0.999424	
following	16	0.999430	0.999085	
my	16	0.999687	0.999610	
must	16	0.999595	0.999441	
church	16	0.999496	0.999266	
left	16	0.999567	0.999414	
called	16	0.999468	0.999237	
came	16	0.999594	0.999441	
break	16	0.999572	0.999380	
always	16	0.999518	0.999287	
among	16	0.999607	0.999415	
week	15	0.999614	0.999470	
wants	15	0.999551	0.999371	
shot	15	0.999601	0.999457	
scored	15	0.999506	0.999290	
rock	15	0.999617	0.999473	
played	15	0.999515	0.999298	
really	15	0.999520	0.999304	
part	15	0.999613	0.999469	
party	15	0.999591	0.999411	
local	15	0.999549	0.999369	
group	15	0.999562	0.999381	
come	15	0.999602	0.999458	
emergency	15	0.999419	0.999095	
every	15	0.999584	0.999404	
different	15	0.999407	0.999082	
better	15	0.999516	0.999300	
behind	15	0.999532	0.999316	
ago	15	0.999708	0.999600	
yet	14	0.999783	0.999682	
15	15	0.999717	0.999645	
went	14	0.999640	0.999505	
stage	14	0.999634	0.999466	
accident	15	0.999467	0.999179	
too	14	0.999700	0.999600	
spectators	14	0.999412	0.999076	
something	14	0.999437	0.999134	
play	14	0.999655	0.999521	
schalke	14	0.999539	0.999304	
seven	14	0.999673	0.999505	
munich	14	0.999600	0.999399	
monday	14	0.999605	0.999403	
may	14	0.999671	0.999570	
members	14	0.999553	0.999317	
line	14	0.999664	0.999530	
life	14	0.999673	0.999538	
least	14	0.999673	0.999505	
hour	14	0.999644	0.999510	
far	14	0.999693	0.999592	
further	14	0.999519	0.999284	
help	14	0.999629	0.999494	
future	14	0.999586	0.999385	
family	14	0.999560	0.999358	
everyone	14	0.999490	0.999221	
failed	14	0.999570	0.999368	
chairman	14	0.999469	0.999200	
despite	14	0.999589	0.999353	
department	14	0.999379	0.999043	
club	14	0.999633	0.999498	
berlin	14	0.999651	0.999449	
another	14	0.999548	0.999313	
while	13	0.999668	0.999512	
airport	14	0.999574	0.999338	
today	13	0.999673	0.999517	
used	13	0.999674	0.999549	
things	13	0.999592	0.999405	
tesla	13	0.999637	0.999481	
terms	13	0.999613	0.999457	
started	13	0.999550	0.999332	
red	13	0.999727	0.999633	
service	13	0.999574	0.999356	
open	13	0.999685	0.999560	
large	13	0.999649	0.999493	
led	13	0.999690	0.999596	
make	13	0.999651	0.999526	
known	13	0.999607	0.999451	
former	13	0.999584	0.999397	
fact	13	0.999667	0.999542	
forces	13	0.999578	0.999391	
days	13	0.999666	0.999541	
down	13	0.999666	0.999541	
conference	13	0.999470	0.999158	
citizens	13	0.999496	0.999246	
band	13	0.999659	0.999534	
change	13	0.999594	0.999407	
anniversary	13	0.999428	0.999085	
able	13	0.999671	0.999546	
within	12	0.999631	0.999459	
2017	13	0.999646	0.999521	
20	13	0.999740	0.999678	
thanks	12	0.999712	0.999539	
tsunami	12	0.999583	0.999382	
tedesco	12	0.999631	0.999429	
starting	12	0.999549	0.999319	
special	12	0.999573	0.999371	
several	12	0.999591	0.999390	
situation	12	0.999525	0.999266	
road	12	0.999693	0.999578	
planned	12	0.999590	0.999389	
need	12	0.999673	0.999558	
music	12	0.999673	0.999529	
meters	12	0.999621	0.999452	
me	12	0.999755	0.999698	
marriage	12	0.999537	0.999306	
korea	12	0.999657	0.999513	
kim	12	0.999730	0.999643	
know	12	0.999674	0.999559	
international	12	0.999400	0.999026	
free	12	0.999683	0.999568	
games	12	0.999693	0.999549	
director	12	0.999529	0.999298	
dance	12	0.999688	0.999544	
audience	12	0.999594	0.999364	
24	12	0.999777	0.999719	
14	12	0.999779	0.999721	
tv	11	0.999771	0.999719	
why	11	0.999809	0.999730	
ten	11	0.999744	0.999664	
t	11	0.999808	0.999781	
six	11	0.999749	0.999669	
showed	11	0.999634	0.999476	
security	11	0.999589	0.999377	
show	11	0.999700	0.999595	
same	11	0.999753	0.999647	
round	11	0.999686	0.999554	
pressig	11	0.999618	0.999433	
record	11	0.999656	0.999497	
position	11	0.999610	0.999398	
parties	11	0.999606	0.999421	
missed	11	0.999644	0.999486	
missing	11	0.999634	0.999449	
merkel	11	0.999634	0.999476	
love	11	0.999733	0.999627	
kahrs	11	0.999738	0.999606	
little	11	0.999655	0.999496	
hours	11	0.999718	0.999586	
high	11	0.999703	0.999598	
integration	11	0.999524	0.999233	
hamburg	11	0.999682	0.999497	
hedge	11	0.999724	0.999592	
happy	11	0.999684	0.999552	
garden	11	0.999674	0.999515	
found	11	0.999667	0.999535	
folk	11	0.999737	0.999631	
five	11	0.999705	0.999600	
finally	11	0.999656	0.999471	
few	11	0.999744	0.999664	
euros	11	0.999713	0.999581	
election	11	0.999584	0.999373	
exchange	11	0.999615	0.999404	
event	11	0.999684	0.999551	
each	11	0.999726	0.999620	
damage	11	0.999676	0.999517	
driver	11	0.999652	0.999494	
control	11	0.999647	0.999462	
construction	11	0.999449	0.999132	
clear	11	0.999667	0.999535	
completely	11	0.999516	0.999252	
champion	11	0.999571	0.999360	
cologne	11	0.999642	0.999457	
caused	11	0.999644	0.999486	
brought	11	0.999615	0.999430	
case	11	0.999743	0.999637	
brazilian	11	0.999567	0.999329	
afternoon	11	0.999561	0.999323	
addition	11	0.999652	0.999441	
action	11	0.999695	0.999537	
wind	10	0.999739	0.999643	
25	11	0.999773	0.999720	
working	10	0.999643	0.999474	
whether	10	0.999679	0.999511	
united	10	0.999668	0.999523	
union	10	0.999728	0.999608	
trainer	10	0.999683	0.999515	
trade	10	0.999741	0.999621	
thing	10	0.999727	0.999607	
track	10	0.999706	0.999586	
system	10	0.999678	0.999533	
summer	10	0.999678	0.999534	
sulawesi	10	0.999628	0.999436	
these	10	0.999753	0.999633	
stand	10	0.999708	0.999588	
site	10	0.999768	0.999672	
short	10	0.999729	0.999609	
quite	10	0.999718	0.999598	
see	10	0.999768	0.999696	
public	10	0.999681	0.999537	
presented	10	0.999594	0.999377	
presidential	10	0.999496	0.999208	
opened	10	0.999675	0.999531	
men	10	0.999783	0.999711	
married	10	0.999653	0.999485	
macedonia	10	0.999620	0.999404	
liverpool	10	0.999599	0.999383	
kulmbach	10	0.999633	0.999441	
independence	10	0.999505	0.999217	
house	10	0.999754	0.999634	
hiltrup	10	0.999653	0.999485	
hard	10	0.999728	0.999632	
go	10	0.999833	0.999785	
going	10	0.999706	0.999586	
fruit	10	0.999723	0.999603	
food	10	0.999754	0.999658	
fc	10	0.999852	0.999804	
everything	10	0.999573	0.999333	
easy	10	0.999738	0.999642	
discussion	10	0.999577	0.999337	
cross	10	0.999708	0.999588	
course	10	0.999712	0.999568	
diesel	10	0.999680	0.999536	
company	10	0.999674	0.999506	
civil	10	0.999698	0.999577	
close	10	0.999748	0.999628	
center	10	0.999683	0.999539	
celebrated	10	0.999547	0.999307	
celebrate	10	0.999577	0.999361	
bolsonaro	10	0.999649	0.999432	
bundesliga	10	0.999564	0.999323	
barcelona	10	0.999643	0.999427	
cdu	10	0.999764	0.999692	
become	10	0.999674	0.999530	
audi	10	0.999753	0.999657	
appearance	10	0.999588	0.999348	
agreement	10	0.999635	0.999419	
2018	10	0.999748	0.999652	
agreed	10	0.999683	0.999539	
wins	9	0.999755	0.999668	
wing	9	0.999775	0.999689	
von	9	0.999782	0.999717	
usa	9	0.999795	0.999730	
tried	9	0.999777	0.999669	
though	9	0.999731	0.999602	
times	9	0.999754	0.999646	
therefore	9	0.999675	0.999481	
themselves	9	0.999623	0.999407	
teams	9	0.999728	0.999620	
successful	9	0.999593	0.999376	
talk	9	0.999775	0.999689	
tafel	9	0.999743	0.999635	
takes	9	0.999739	0.999631	
stuttgart	9	0.999630	0.999435	
strong	9	0.999701	0.999571	
street	9	0.999727	0.999597	
step	9	0.999781	0.999695	
station	9	0.999704	0.999553	
stated	9	0.999711	0.999581	
speech	9	0.999727	0.999597	
sound	9	0.999748	0.999640	
services	9	0.999667	0.999494	
seriously	9	0.999644	0.999449	
ronaldo	9	0.999697	0.999546	
return	9	0.999701	0.999571	
result	9	0.999722	0.999592	
remain	9	0.999701	0.999571	
referendum	9	0.999643	0.999427	
recently	9	0.999658	0.999485	
previously	9	0.999623	0.999407	
power	9	0.999728	0.999620	
quickly	9	0.999699	0.999548	
others	9	0.999727	0.999597	
muscle	9	0.999736	0.999607	
mosque	9	0.999716	0.999586	
morning	9	0.999674	0.999522	
mood	9	0.999774	0.999688	
million	9	0.999674	0.999522	
meeting	9	0.999674	0.999522	
media	9	0.999743	0.999635	
mesut	9	0.999736	0.999628	
mayor	9	0.999733	0.999625	
mainz	9	0.999774	0.999666	
main	9	0.999762	0.999676	
lohan	9	0.999743	0.999635	
lost	9	0.999760	0.999673	
longer	9	0.999702	0.999572	
living	9	0.999714	0.999584	
law	9	0.999828	0.999763	
jürgen	9	0.999721	0.999591	
keller	9	0.999741	0.999612	
information	9	0.999576	0.999338	
involved	9	0.999700	0.999527	
huge	9	0.999770	0.999683	
history	9	0.999721	0.999569	
hannover	9	0.999670	0.999497	
gets	9	0.999758	0.999671	
general	9	0.999681	0.999530	
gardening	9	0.999635	0.999440	
foreign	9	0.999703	0.999552	
especially	9	0.999608	0.999392	
film	9	0.999790	0.999704	
explained	9	0.999626	0.999431	
enough	9	0.999730	0.999601	
eintracht	9	0.999670	0.999476	
died	9	0.999780	0.999694	
currently	9	0.999701	0.999506	
criticism	9	0.999635	0.999440	
conditions	9	0.999593	0.999376	
champions	9	0.999620	0.999425	
catalan	9	0.999679	0.999527	
ahlen	9	0.999756	0.999648	
75	9	0.999831	0.999788	
candidate	9	0.999635	0.999440	
50	9	0.999824	0.999781	
7	9	0.999861	0.999840	
29	9	0.999833	0.999790	
18	9	0.999815	0.999772	
!	9	0.999938	0.999917	
youth	8	0.999789	0.999692	
yes	8	0.999877	0.999820	
woman	8	0.999771	0.999675	
wolbeck	8	0.999745	0.999611	
wine	8	0.999797	0.999720	
weekend	8	0.999725	0.999591	
turkey	8	0.999766	0.999650	
transport	8	0.999682	0.999509	
tree	8	0.999805	0.999729	
town	8	0.999791	0.999714	
tayyip	8	0.999774	0.999659	
star	8	0.999817	0.999740	
slightly	8	0.999695	0.999541	
success	8	0.999730	0.999596	
society	8	0.999715	0.999581	
series	8	0.999745	0.999630	
singer	8	0.999791	0.999676	
score	8	0.999768	0.999672	
saw	8	0.999833	0.999775	
row	8	0.999837	0.999779	
reports	8	0.999730	0.999596	
recep	8	0.999758	0.999662	
recent	8	0.999746	0.999631	
rather	8	0.999739	0.999624	
question	8	0.999707	0.999554	
process	8	0.999720	0.999586	
previous	8	0.999686	0.999532	
press	8	0.999768	0.999672	
past	8	0.999782	0.999705	
parking	8	0.999716	0.999582	
paris	8	0.999794	0.999698	
opportunity	8	0.999629	0.999418	
pass	8	0.999787	0.999710	
organ	8	0.999767	0.999671	
once	8	0.999817	0.999740	
office	8	0.999746	0.999631	
larsen	8	0.999775	0.999659	
level	8	0.999793	0.999696	
korean	8	0.999734	0.999619	
kavanaugh	8	0.999663	0.999490	
july	8	0.999794	0.999718	
island	8	0.999754	0.999639	
investigation	8	0.999610	0.999361	
himself	8	0.999710	0.999575	
held	8	0.999806	0.999730	
hall	8	0.999802	0.999726	
hahn	8	0.999802	0.999725	
getting	8	0.999711	0.999576	
florian	8	0.999715	0.999581	
forest	8	0.999745	0.999630	
find	8	0.999787	0.999710	
fans	8	0.999817	0.999740	
final	8	0.999761	0.999665	
feel	8	0.999782	0.999705	
executive	8	0.999682	0.999509	
european	8	0.999686	0.999532	
due	8	0.999821	0.999764	
europe	8	0.999759	0.999644	
demonstrated	8	0.999610	0.999380	
defeat	8	0.999740	0.999625	
debate	8	0.999764	0.999649	
de	8	0.999831	0.999793	
crashed	8	0.999715	0.999581	
competition	8	0.999656	0.999444	
community	8	0.999687	0.999514	
coming	8	0.999734	0.999619	
comes	8	0.999763	0.999667	
colleagues	8	0.999663	0.999471	
chancellor	8	0.999664	0.999472	
building	8	0.999716	0.999563	
coalition	8	0.999680	0.999507	
championship	8	0.999595	0.999364	
bonn	8	0.999825	0.999748	
birthday	8	0.999733	0.999579	
became	8	0.999745	0.999630	
available	8	0.999697	0.999524	
bayern	8	0.999739	0.999624	
background	8	0.999656	0.999464	
august	8	0.999767	0.999651	
ambulance	8	0.999704	0.999532	
associations	8	0.999611	0.999381	
albachten	8	0.999673	0.999500	
academy	8	0.999735	0.999601	
26	8	0.999846	0.999808	
16	8	0.999833	0.999795	
100	8	0.999806	0.999748	
weeks	7	0.999789	0.999705	
white	7	0.999802	0.999718	
use	7	0.999835	0.999785	
un	7	0.999872	0.999838	
tuesday	7	0.999777	0.999659	
total	7	0.999823	0.999739	
told	7	0.999835	0.999767	
tiger	7	0.999794	0.999710	
think	7	0.999809	0.999725	
taxi	7	0.999838	0.999771	
term	7	0.999812	0.999745	
survey	7	0.999798	0.999697	
songs	7	0.999819	0.999735	
say	7	0.999841	0.999791	
small	7	0.999793	0.999709	
song	7	0.999815	0.999748	
run	7	0.999835	0.999785	
responsible	7	0.999682	0.999497	
residents	7	0.999713	0.999562	
register	7	0.999728	0.999594	
reckenfeld	7	0.999690	0.999522	
received	7	0.999725	0.999591	
rebic	7	0.999788	0.999704	
reasons	7	0.999760	0.999643	
provided	7	0.999728	0.999594	
property	7	0.999735	0.999601	
professional	7	0.999662	0.999461	
places	7	0.999793	0.999692	
penalty	7	0.999756	0.999639	
partner	7	0.999746	0.999629	
park	7	0.999845	0.999778	
olympic	7	0.999746	0.999629	
numerous	7	0.999728	0.999594	
nuclear	7	0.999746	0.999629	
nottuln	7	0.999793	0.999675	
needs	7	0.999794	0.999710	
native	7	0.999772	0.999671	
naldo	7	0.999829	0.999745	
mülheim	7	0.999749	0.999632	
moment	7	0.999777	0.999677	
member	7	0.999768	0.999667	
mexico	7	0.999793	0.999692	
managed	7	0.999751	0.999634	
manchester	7	0.999698	0.999530	
maas	7	0.999884	0.999817	
market	7	0.999808	0.999707	
medal	7	0.999817	0.999733	
locomotives	7	0.999688	0.999503	
live	7	0.999826	0.999758	
labor	7	0.999817	0.999733	
let	7	0.999851	0.999800	
join	7	0.999816	0.999749	
issue	7	0.999828	0.999744	
hospital	7	0.999765	0.999630	
holy	7	0.999809	0.999742	
hand	7	0.999830	0.999762	
grand	7	0.999788	0.999704	
ground	7	0.999777	0.999677	
gave	7	0.999813	0.999746	
foundation	7	0.999717	0.999548	
france	7	0.999783	0.999683	
full	7	0.999820	0.999752	
fifth	7	0.999788	0.999704	
face	7	0.999836	0.999768	
expected	7	0.999736	0.999602	
felt	7	0.999822	0.999754	
explains	7	0.999735	0.999601	
example	7	0.999763	0.999645	
exactly	7	0.999746	0.999629	
electric	7	0.999729	0.999595	
door	7	0.999831	0.999763	
discovered	7	0.999683	0.999515	
death	7	0.999809	0.999725	
david	7	0.999793	0.999709	
dangerous	7	0.999719	0.999568	
date	7	0.999825	0.999757	
created	7	0.999755	0.999637	
crash	7	0.999820	0.999736	
court	7	0.999798	0.999714	
continued	7	0.999714	0.999563	
concert	7	0.999756	0.999639	
considered	7	0.999684	0.999516	
choir	7	0.999795	0.999711	
chelsea	7	0.999788	0.999670	
card	7	0.999828	0.999760	
bild	7	0.999812	0.999745	
borussia	7	0.999740	0.999606	
beginning	7	0.999704	0.999553	
austria	7	0.999756	0.999639	
approximately	7	0.999628	0.999410	
attempted	7	0.999718	0.999567	
apple	7	0.999822	0.999738	
appeared	7	0.999730	0.999596	
apparently	7	0.999694	0.999526	
alone	7	0.999802	0.999718	
angela	7	0.999767	0.999666	
additional	7	0.999683	0.999515	
across	7	0.999788	0.999687	
actually	7	0.999726	0.999592	
96	7	0.999865	0.999831	
accused	7	0.999756	0.999639	
80	7	0.999874	0.999840	
45	7	0.999873	0.999839	
5	7	0.999883	0.999866	
your	6	0.999882	0.999824	
10	7	0.999867	0.999833	
2019	7	0.999840	0.999773	
young	6	0.999819	0.999746	
york	6	0.999857	0.999799	
wolfsburg	6	0.999767	0.999637	
winter	6	0.999811	0.999724	
wife	6	0.999842	0.999784	
words	6	0.999829	0.999757	
volleyball	6	0.999759	0.999615	
vfb	6	0.999858	0.999814	
vfl	6	0.999870	0.999827	
twice	6	0.999824	0.999752	
tutzing	6	0.999793	0.999692	
towards	6	0.999808	0.999707	
thus	6	0.999897	0.999840	
thought	6	0.999792	0.999691	
those	6	0.999852	0.999780	
thomas	6	0.999806	0.999719	
support	6	0.999782	0.999682	
talks	6	0.999827	0.999755	
stands	6	0.999812	0.999725	
square	6	0.999831	0.999744	
sports	6	0.999801	0.999714	
soon	6	0.999862	0.999804	
signs	6	0.999824	0.999752	
sent	6	0.999837	0.999779	
shortly	6	0.999818	0.999717	
solo	6	0.999852	0.999794	
seems	6	0.999827	0.999755	
scorer	6	0.999804	0.999717	
scoring	6	0.999782	0.999682	
sartor	6	0.999849	0.999763	
rule	6	0.999867	0.999809	
room	6	0.999862	0.999804	
residential	6	0.999711	0.999553	
released	6	0.999769	0.999653	
report	6	0.999811	0.999724	
rescue	6	0.999814	0.999727	
region	6	0.999801	0.999714	
real	6	0.999837	0.999779	
refugee	6	0.999807	0.999706	
provide	6	0.999782	0.999682	
protests	6	0.999810	0.999695	
properties	6	0.999745	0.999601	
politician	6	0.999738	0.999594	
probably	6	0.999764	0.999649	
program	6	0.999803	0.999702	
pressure	6	0.999789	0.999674	
playing	6	0.999822	0.999721	
ourselves	6	0.999746	0.999617	
otherwise	6	0.999788	0.999658	
person	6	0.999816	0.999729	
opportunities	6	0.999715	0.999528	
oktoberfest	6	0.999713	0.999555	
never	6	0.999819	0.999746	
nafta	6	0.999829	0.999757	
musicians	6	0.999778	0.999648	
migration	6	0.999746	0.999617	
movement	6	0.999795	0.999680	
michael	6	0.999813	0.999712	
meanwhile	6	0.999823	0.999693	
middle	6	0.999826	0.999739	
message	6	0.999821	0.999720	
means	6	0.999825	0.999753	
mcgill	6	0.999801	0.999714	
matter	6	0.999811	0.999724	
m	6	0.999891	0.999876	
majority	6	0.999768	0.999652	
low	6	0.999875	0.999832	
light	6	0.999829	0.999757	
losses	6	0.999811	0.999724	
late	6	0.999847	0.999789	
leader	6	0.999845	0.999759	
laschet	6	0.999813	0.999712	
kept	6	0.999843	0.999785	
journalists	6	0.999711	0.999553	
karl	6	0.999852	0.999794	
johannes	6	0.999780	0.999664	
invited	6	0.999798	0.999697	
instead	6	0.999850	0.999749	
injury	6	0.999811	0.999724	
increase	6	0.999798	0.999683	
individual	6	0.999728	0.999584	
included	6	0.999774	0.999658	
ina	6	0.999855	0.999811	
hope	6	0.999872	0.999814	
immediately	6	0.999721	0.999562	
holds	6	0.999824	0.999752	
hit	6	0.999855	0.999811	
heavy	6	0.999825	0.999753	
heart	6	0.999839	0.999767	
guitar	6	0.999811	0.999724	
hans	6	0.999837	0.999779	
hardly	6	0.999816	0.999729	
groups	6	0.999821	0.999734	
germans	6	0.999793	0.999692	
franke	6	0.999802	0.999715	
given	6	0.999834	0.999762	
fourth	6	0.999801	0.999714	
green	6	0.999819	0.999746	
flake	6	0.999849	0.999777	
field	6	0.999829	0.999757	
fell	6	0.999842	0.999784	
ex	6	0.999888	0.999859	
entire	6	0.999831	0.999744	
eight	6	0.999834	0.999762	
experience	6	0.999754	0.999610	
east	6	0.999844	0.999786	
earthquakes	6	0.999738	0.999579	
double	6	0.999816	0.999729	
earthquake	6	0.999744	0.999599	
donations	6	0.999748	0.999619	
drink	6	0.999829	0.999757	
don	6	0.999865	0.999822	
dog	6	0.999873	0.999830	
ditib	6	0.999822	0.999750	
criticized	6	0.999733	0.999589	
dead	6	0.999860	0.999802	
defense	6	0.999803	0.999702	
difficult	6	0.999767	0.999637	
daniel	6	0.999851	0.999765	
council	6	0.999807	0.999706	
controllers	6	0.999711	0.999553	
christian	6	0.999746	0.999617	
committee	6	0.999746	0.999617	
contrast	6	0.999779	0.999663	
contest	6	0.999794	0.999693	
changed	6	0.999798	0.999697	
chance	6	0.999821	0.999734	
