	MAP.gm	P5	P10	R10	RBO	NDCG	BLEU	CHRF2	MacroF1	MicroF1	MacroBLEU	MicroBLEU	CHRF1	CHRF3
MAP.gm	1.00000	0.97380	0.97745	0.98128	0.98770	0.99331	0.98178	0.98200	0.98441	0.98680	0.98394	0.98526	0.98838	0.98476
P5	0.97380	1.00000	0.99225	0.97389	0.97462	0.98211	0.95846	0.96851	0.96275	0.96905	0.96301	0.96564	0.97270	0.96704
P10	0.97745	0.99225	1.00000	0.98020	0.98053	0.98576	0.97187	0.97805	0.97555	0.98004	0.97626	0.97753	0.98224	0.97686
R10	0.98128	0.97389	0.98020	1.00000	0.97355	0.97555	0.97885	0.98172	0.98145	0.98201	0.97968	0.97962	0.98337	0.98319
RBO	0.98770	0.97462	0.98053	0.97355	1.00000	0.99454	0.98939	0.98417	0.99099	0.99210	0.99207	0.99296	0.99183	0.98626
NDCG	0.99331	0.98211	0.98576	0.97555	0.99454	1.00000	0.98341	0.98536	0.98593	0.99032	0.98598	0.98801	0.99195	0.98734
BLEU	0.98178	0.95846	0.97187	0.97885	0.98939	0.98341	1.00000	0.99349	0.99931	0.99831	0.99880	0.99812	0.99645	0.99553
CHRF2	0.98200	0.96851	0.97805	0.98172	0.98417	0.98536	0.99349	1.00000	0.99364	0.99588	0.99174	0.99131	0.99740	0.99773
MacroF1	0.98441	0.96275	0.97555	0.98145	0.99099	0.98593	0.99931	0.99364	1.00000	0.99853	0.99970	0.99860	0.99722	0.99558
MicroF1	0.98680	0.96905	0.98004	0.98201	0.99210	0.99032	0.99831	0.99588	0.99853	1.00000	0.99783	0.99852	0.99936	0.99793
MacroBLEU	0.98394	0.96301	0.97626	0.97968	0.99207	0.98598	0.99880	0.99174	0.99970	0.99783	1.00000	0.99901	0.99612	0.99350
MicroBLEU	0.98526	0.96564	0.97753	0.97962	0.99296	0.98801	0.99812	0.99131	0.99860	0.99852	0.99901	1.00000	0.99648	0.99337
CHRF1	0.98838	0.97270	0.98224	0.98337	0.99183	0.99195	0.99645	0.99740	0.99722	0.99936	0.99612	0.99648	1.00000	0.99887
CHRF3	0.98476	0.96704	0.97686	0.98319	0.98626	0.98734	0.99553	0.99773	0.99558	0.99793	0.99350	0.99337	0.99887	1.00000
