	MAP.gm	P5	P10	R10	RBO	NDCG	BLEU	CHRF2	MacroF1	MicroF1	MacroBLEU	MicroBLEU	CHRF1	CHRF3
MAP.gm	1.00000	0.93824	0.95511	0.85882	0.86765	0.90000	0.91765	0.86864	0.91096	0.90294	0.90294	0.90869	0.91765	0.91471
P5	0.93824	1.00000	0.96689	0.89706	0.86471	0.92059	0.93529	0.90873	0.92715	0.92353	0.91765	0.92195	0.93529	0.94412
P10	0.95511	0.96689	1.00000	0.89625	0.89919	0.93451	0.93451	0.90048	0.92784	0.91391	0.91979	0.92115	0.93451	0.92862
R10	0.85882	0.89706	0.89625	1.00000	0.73824	0.81471	0.82059	0.80776	0.81089	0.79412	0.80000	0.81296	0.82059	0.82941
RBO	0.86765	0.86471	0.89919	0.73824	1.00000	0.97941	0.96176	0.96218	0.96394	0.96471	0.96471	0.95876	0.96176	0.95000
NDCG	0.90000	0.92059	0.93451	0.81471	0.97941	1.00000	0.98824	0.98594	0.98749	0.98529	0.98529	0.98380	0.98824	0.98529
BLEU	0.91765	0.93529	0.93451	0.82059	0.96176	0.98824	1.00000	0.99040	0.99926	0.99706	0.99706	0.99853	1.00000	0.99706
CHRF2	0.86864	0.90873	0.90048	0.80776	0.96218	0.98594	0.99040	1.00000	0.99112	0.99040	0.99040	0.99185	0.99040	0.99040
MacroF1	0.91096	0.92715	0.92784	0.81089	0.96394	0.98749	0.99926	0.99112	1.00000	0.99632	0.99926	0.99926	0.99926	0.99632
MicroF1	0.90294	0.92353	0.91391	0.79412	0.96471	0.98529	0.99706	0.99040	0.99632	1.00000	0.99412	0.99558	0.99706	0.99412
MacroBLEU	0.90294	0.91765	0.91979	0.80000	0.96471	0.98529	0.99706	0.99040	0.99926	0.99412	1.00000	0.99853	0.99706	0.99412
MicroBLEU	0.90869	0.92195	0.92115	0.81296	0.95876	0.98380	0.99853	0.99185	0.99926	0.99558	0.99853	1.00000	0.99853	0.99558
CHRF1	0.91765	0.93529	0.93451	0.82059	0.96176	0.98824	1.00000	0.99040	0.99926	0.99706	0.99706	0.99853	1.00000	0.99706
CHRF3	0.91471	0.94412	0.92862	0.82941	0.95000	0.98529	0.99706	0.99040	0.99632	0.99412	0.99412	0.99558	0.99706	1.00000
